time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006106740610611,0.0083446502685546,0.00762939453125,0.00762939453125,0.0150203704833984,0.0150203704833984,0.0039565302159664,0.0047683715820312,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0098773411342075,0.0226736068725585,0.0204086303710937,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,144.408,0.0,0.0065122331891741,0.0090599060058593,3034.24,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0075857238014145,0.0099897384643554,0.0088214874267578,0.0088214874267578,0.0095367431640625,0.0095367431640625,0.0038847040481415,0.0045299530029296,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0098773411342075,0.0226736068725585,0.0204086303710937,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,118.448,0.0,0.0065122331891741,0.0090599060058593,33055.248,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066554546356201,0.0090599060058593,0.009775161743164,0.009775161743164,0.0095367431640625,0.0095367431640625,0.0045299530029296,0.0045299530029296,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0098773411342075,0.0226736068725585,0.0204086303710937,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,112.696,0.0,0.0065122331891741,0.0090599060058593,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061023235321044,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0098773411342075,0.0226736068725585,0.0204086303710937,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0065122331891741,0.0090599060058593,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059187412261962,0.0078916549682617,0.0078678131103515,0.0078678131103515,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0098773411342075,0.0226736068725585,0.0204086303710937,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0065122331891741,0.0090599060058593,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0067680489783193,0.009465217590332,0.009775161743164,0.009775161743164,0.0138282775878906,0.0138282775878906,0.0038932601307487,0.0045299530029296,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0098773411342075,0.0226736068725585,0.0204086303710937,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,132.768,0.0,0.0065122331891741,0.0090599060058593,17373.264,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0075178952952522,0.0100135803222656,0.009775161743164,0.009775161743164,0.0128746032714843,0.0128746032714843,0.0038864407153415,0.0045299530029296,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0098773411342075,0.0226736068725585,0.0204086303710937,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,117.192,0.0,0.0065122331891741,0.0090599060058593,33530.352,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063566426139565,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0123977661132812,0.0123977661132812,0.0047683715820312,0.0047683715820312,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0098773411342075,0.0226736068725585,0.0204086303710937,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,113.256,0.0,0.0065122331891741,0.0090599060058593,1.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061004316035787,0.0085830688476562,0.0109672546386718,0.0109672546386718,0.0081062316894531,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0126361846923828,0.0226736068725585,0.0241756439208984,0.496,1.36,0.0,0.0,1.696,1.696,4.52,3.504,113.256,0.0,0.0068187713623046,0.0091075897216796,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058928532386893,0.00762939453125,0.00762939453125,0.00762939453125,0.0128746032714843,0.0128746032714843,0.0061988830566406,0.0061988830566406,0.0209808349609375,0.0211715698242187,0.0218152999877929,0.0,0.0226736068725585,0.0,0.496,1.36,0.0,0.0,1.696,1.696,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
