time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006215165301067,0.0088214874267578,0.0064373016357421,0.0064373016357421,0.0043450569619937,0.0047683715820312,0.0057697296142578,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.0119209289550781,0.0119209289550781,0.496,1.36,0.0,0.0,0.848,0.848,3.504,4.52,131.984,0.0,0.0126361846923828,0.0245094299316406,0.0062942504882812,0.0079631805419921,479.624,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006215165301067,0.0088214874267578,0.0061988830566406,0.0061988830566406,0.0043450569619937,0.0047683715820312,0.0057697296142578,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.013589859008789,0.013589859008789,0.496,1.36,0.0,0.0,0.848,0.848,3.504,4.52,131.984,0.0,0.0126361846923828,0.0245094299316406,0.0062942504882812,0.0079631805419921,479.624,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063910413144239,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.003872061134281,0.0047683715820312,0.0045299530029296,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.0143051147460937,0.0143051147460937,0.496,1.36,0.0,0.0,0.848,0.848,4.232,3.744,114.424,0.0,0.0134468078613281,0.026702880859375,0.0070571899414062,0.0088691711425781,8828.032,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066970711323752,0.0088214874267578,0.013589859008789,0.013589859008789,0.0038974733982226,0.0047683715820312,0.0047683715820312,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.0100135803222656,0.0100135803222656,0.496,1.36,0.0,0.0,0.848,0.848,4.232,3.744,117.192,0.0,0.0117778778076171,0.0215530395507812,0.0061988830566406,0.0075340270996093,4417.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063602011002118,0.0081062316894531,0.00762939453125,0.00762939453125,0.0042319297790527,0.0047683715820312,0.0047922134399414,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.011444091796875,0.011444091796875,0.496,1.36,0.0,0.0,0.848,0.848,7.736,8.264,113.256,0.0,0.0106573104858398,0.0259160995483398,0.0059843063354492,0.0081062316894531,29.216,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061150824669564,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0038558039171942,0.0047683715820312,0.0042915344238281,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.00762939453125,0.00762939453125,0.496,1.36,0.0,0.0,0.848,0.848,4.232,3.744,123.08,0.0,0.0117301940917968,0.0218868255615234,0.0062942504882812,0.0080108642578125,1299.424,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006311010606218,0.0085830688476562,0.00762939453125,0.00762939453125,0.0041600820180532,0.0047683715820312,0.0052452087402343,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.0083446502685546,0.0083446502685546,0.496,1.36,0.0,0.0,0.848,0.848,4.232,3.744,115.968,0.0,0.0109195709228515,0.0213623046875,0.0057697296142578,0.0071048736572265,1913.144,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0068299212859044,0.0092983245849609,0.0071525573730468,0.0071525573730468,0.0039228031310722,0.0047683715820312,0.0047683715820312,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.0090599060058593,0.0090599060058593,0.496,1.36,0.0,0.0,0.848,0.848,7.736,8.264,117.192,0.0,0.0104427337646484,0.0246524810791015,0.0056266784667968,0.0076770782470703,10479.16,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063625734243819,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0043415254162203,0.0047683715820312,0.0052452087402343,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.0159740447998046,0.0159740447998046,0.496,1.36,0.0,0.0,0.848,0.848,4.232,3.744,115.16,0.0,0.0102043151855468,0.0194549560546875,0.0056743621826171,0.0074386596679687,954.4,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062937760234472,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0043756821576286,0.0047683715820312,0.0052452087402343,0.0047683715820312,0.0109672546386718,0.0109672546386718,0.0145435333251953,0.0145435333251953,0.496,1.36,0.0,0.0,0.848,0.848,4.232,3.744,117.192,0.0,0.0123977661132812,0.0238895416259765,0.0057697296142578,0.0072956085205078,385.176,0
