time_seconds,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060652765098977,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0137090682983398,0.0107288360595703,0.0107288360595703,0.0140666961669921,0.0051430293491908,0.0159025192260742,0.0159740447998046,0.0069141387939453,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,1.696,1.696,142.76,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,109.728,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0062356540812781,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0137090682983398,0.0157356262207031,0.0157356262207031,0.0140666961669921,0.0060558319091796,0.0159025192260742,0.0159740447998046,0.0078201293945312,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,1.696,1.696,113.256,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,30.056,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061587531967918,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0137090682983398,0.0066757202148437,0.0066757202148437,0.0140666961669921,0.00762939453125,0.0159025192260742,0.0159740447998046,0.0080108642578125,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,1.696,1.696,122.384,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,18.384,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061716013286837,0.0078678131103515,0.0095367431640625,0.0095367431640625,0.0137090682983398,0.0102519989013671,0.0102519989013671,0.0140666961669921,0.0053752552379261,0.0159025192260742,0.0159740447998046,0.0071525573730468,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,1.696,1.696,114.6,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,77.784,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061573673836627,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0137090682983398,0.0131130218505859,0.0131130218505859,0.0140666961669921,0.0048577785491943,0.0159025192260742,0.0159740447998046,0.005960464477539,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,1.696,1.696,117.192,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,113.04,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0059401988983154,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0137090682983398,0.0095367431640625,0.0095367431640625,0.0140666961669921,0.0057220458984375,0.0159025192260742,0.0159740447998046,0.0057220458984375,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,11.4,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0062626187164004,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0069141387939453,0.0,0.0,0.008249282836914,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,0.0,0.0,118.448,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,8.496,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060371833272499,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0069141387939453,0.0,0.0,0.007486343383789,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,0.0,0.0,118.448,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,7.664,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061752772567295,0.0080823898315429,0.0095367431640625,0.0095367431640625,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0052928924560546,0.0,0.0,0.0060558319091796,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,0.0,0.0,118.448,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,40.52,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0062203407287597,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0093187604631696,0.0176906585693359,0.496,1.36,0.0,0.0,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0065667288643973,0.0085830688476562,0.0,0
