time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061988830566406,0.0083446502685546,0.0055829683939615,0.0081062316894531,0.0096559524536132,0.0092267990112304,0.0062874385288783,0.0092506408691406,0.0137567520141601,0.0088214874267578,0.0094686235700334,0.0102519989013671,0.0102519989013671,0.0178813934326171,0,0.496,1.36,1.696,1.696,142.592,25.152,27.344,0.0,122.832,0.0090599060058593,0.0090599060058593,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060956869552384,0.0083446502685546,0.005960464477539,0.0081062316894531,0.0096559524536132,0.005960464477539,0.0062874385288783,0.0092506408691406,0.0137567520141601,0.0088214874267578,0.0094686235700334,0.0061988830566406,0.0061988830566406,0.0178813934326171,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0.0085830688476562,0.0085830688476562,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061965341051223,0.0083446502685546,0.004014303517896,0.0081062316894531,0.0096559524536132,0.0050067901611328,0.0062874385288783,0.0092506408691406,0.0137567520141601,0.0088214874267578,0.0094686235700334,0.0143051147460937,0.0143051147460937,0.0178813934326171,0,0.496,1.36,1.696,1.696,123.64,25.152,27.344,0.0,1894.624,0.0078678131103515,0.0078678131103515,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060112169473478,0.0081062316894531,0.0039603975084092,0.0081062316894531,0.0096559524536132,0.0046014785766601,0.0062874385288783,0.0092506408691406,0.0137567520141601,0.0088214874267578,0.0094686235700334,0.0112056732177734,0.0112056732177734,0.0178813934326171,0,0.496,1.36,1.696,1.696,117.584,25.152,27.344,0.0,1184.224,0.0069141387939453,0.0069141387939453,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058972835540771,0.0076532363891601,0.0,0.0081062316894531,0.0096559524536132,0.0,0.0062874385288783,0.0092506408691406,0.0137567520141601,0.0088214874267578,0.0094686235700334,0.0071525573730468,0.0071525573730468,0.0178813934326171,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.0066757202148437,0.0066757202148437,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064609074356532,0.0088214874267578,0.0038721475256494,0.0081062316894531,0.0096559524536132,0.0045299530029296,0.0062874385288783,0.0092506408691406,0.0137567520141601,0.0088214874267578,0.0094686235700334,0.0092983245849609,0.0092983245849609,0.0178813934326171,0,0.496,1.36,1.696,1.696,122.384,25.152,27.344,0.0,7569.824,0.00762939453125,0.00762939453125,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060892105102539,0.0083446502685546,0.0,0.0081062316894531,0.0096559524536132,0.0,0.0062874385288783,0.0092506408691406,0.0137567520141601,0.0088214874267578,0.0094686235700334,0.0128746032714843,0.0128746032714843,0.0178813934326171,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.00762939453125,0.00762939453125,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006108000726983,0.008559226989746,0.0069936116536458,0.0081062316894531,0.0096559524536132,0.008249282836914,0.0062874385288783,0.0092506408691406,0.0137567520141601,0.0088214874267578,0.0094686235700334,0.0078678131103515,0.0078678131103515,0.0178813934326171,0,0.496,1.36,1.696,1.696,122.384,25.152,27.344,0.0,21.304,0.0066757202148437,0.0066757202148437,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006174096966734,0.0087976455688476,0.0039482116699218,0.0,0.0,0.0045537948608398,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0088214874267578,0.0088214874267578,0.0178813934326171,0,0.496,1.36,0.0,0.0,118.448,25.152,27.344,0.0,3703.328,0.0088214874267578,0.0088214874267578,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0074523510319171,0.009775161743164,0.0038582887222517,0.0,0.0,0.0045299530029296,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0121593475341796,0.0121593475341796,0.0178813934326171,0,0.496,1.36,0.0,0.0,118.448,25.152,27.344,0.0,33432.272,0.0085830688476562,0.0085830688476562,0
