time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065437798361176,0.0094175338745117,0.0038701251628275,0.0061511993408203,0.0128746032714843,0.0045299530029296,0.013589859008789,0.0151634216308593,0.0081062316894531,0.0170230865478515,0.0095571790422712,0.0133514404296875,0.0133514404296875,0.0195980072021484,0,0.496,1.696,1.696,1.36,143.152,25.152,27.344,0.0,13369.496,0.0071525573730468,0.0071525573730468,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0073555672522818,0.0100135803222656,0.0038844755093639,0.0061511993408203,0.0128746032714843,0.0045299530029296,0.013589859008789,0.0151634216308593,0.0081062316894531,0.0170230865478515,0.0095571790422712,0.0090599060058593,0.0090599060058593,0.0195980072021484,0,0.496,1.696,1.696,1.424,118.448,25.152,27.344,0.0,22718.8,0.0138282775878906,0.0138282775878906,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060221449059633,0.0085830688476562,0.0045299530029296,0.0061511993408203,0.0128746032714843,0.0045299530029296,0.013589859008789,0.0151634216308593,0.0081062316894531,0.0170230865478515,0.0095571790422712,0.0121593475341796,0.0121593475341796,0.0195980072021484,0,0.496,1.696,1.696,1.424,113.256,25.152,27.344,0.0,1.192,0.0066757202148437,0.0066757202148437,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060517989580904,0.0083446502685546,0.0045299530029296,0.0061511993408203,0.0128746032714843,0.0045299530029296,0.013589859008789,0.0151634216308593,0.0081062316894531,0.0170230865478515,0.0095571790422712,0.0083446502685546,0.0083446502685546,0.0195980072021484,0,0.496,1.696,1.696,1.36,113.256,25.152,27.344,0.0,1.192,0.0073909759521484,0.0073909759521484,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058722496032714,0.00762939453125,0.0,0.0061511993408203,0.0128746032714843,0.0,0.013589859008789,0.0151634216308593,0.0081062316894531,0.0170230865478515,0.0095571790422712,0.0143051147460937,0.0143051147460937,0.0195980072021484,0,0.496,1.696,1.696,1.36,112.0,25.152,27.344,0.0,0.0,0.0083446502685546,0.0083446502685546,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068229787489947,0.0092983245849609,0.0038614460066253,0.0061511993408203,0.0128746032714843,0.0045299530029296,0.013589859008789,0.0151634216308593,0.0081062316894531,0.0170230865478515,0.0095571790422712,0.0147819519042968,0.0147819519042968,0.0195980072021484,0,0.496,1.696,1.696,1.36,132.768,25.152,27.344,0.0,24120.952,0.0121593475341796,0.0121593475341796,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0074989167018909,0.0100135803222656,0.0038785227878241,0.0061511993408203,0.0128746032714843,0.0045299530029296,0.013589859008789,0.0151634216308593,0.0081062316894531,0.0170230865478515,0.0095571790422712,0.0166893005371093,0.0166893005371093,0.0195980072021484,0,0.496,1.696,1.696,1.424,117.192,25.152,27.344,0.0,26782.664,0.0104904174804687,0.0104904174804687,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061523914337158,0.0086069107055664,0.0,0.0061511993408203,0.0128746032714843,0.0,0.013589859008789,0.0151634216308593,0.0081062316894531,0.0170230865478515,0.0095571790422712,0.0078678131103515,0.0078678131103515,0.0195980072021484,0,0.496,1.696,1.696,1.424,112.0,25.152,27.344,0.0,0.0,0.0066757202148437,0.0066757202148437,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060280757163887,0.0083446502685546,0.0081062316894531,0.0061511993408203,0.0128746032714843,0.0081062316894531,0.013589859008789,0.0151634216308593,0.0081062316894531,0.0170230865478515,0.0095571790422712,0.0102519989013671,0.0102519989013671,0.0195980072021484,0,0.496,1.696,1.696,1.36,113.256,25.152,27.344,0.0,1.192,0.0061988830566406,0.0061988830566406,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058525237277965,0.00762939453125,0.0050067901611328,0.0061511993408203,0.0,0.0050067901611328,0.0,0.0,0.0081062316894531,0.0,0.0095571790422712,0.0085830688476562,0.0085830688476562,0.0195980072021484,0,0.496,0.0,0.0,1.36,113.256,25.152,27.344,0.0,1.192,0.0073909759521484,0.0073909759521484,0
