time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063829051638112,0.0084638595581054,0.0040411949157714,0.0047922134399414,0.0067174434661865,0.0154972076416015,0.0164508819580078,0.0093698501586914,0.0223636627197265,0.0221729278564453,0.0100910663604736,0.0217199325561523,0,0.496,1.696,1.696,1.36,134.416,29.672,30.848,0.0,0.0102519989013671,0.0102519989013671,3324.112,0.0090599060058593,0.0090599060058593,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064018929358756,0.0085830688476562,0.0042556083365662,0.0055789947509765,0.0067174434661865,0.0154972076416015,0.0164508819580078,0.0093698501586914,0.0223636627197265,0.0221729278564453,0.0100910663604736,0.0217199325561523,0,0.496,1.696,1.696,1.424,116.096,29.672,30.848,0.0,0.0112056732177734,0.0112056732177734,763.832,0.00762939453125,0.00762939453125,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066060831051061,0.0092744827270507,0.0041925138042819,0.0050067901611328,0.0067174434661865,0.0154972076416015,0.0164508819580078,0.0093698501586914,0.0223636627197265,0.0221729278564453,0.0100910663604736,0.0217199325561523,0,0.496,1.696,1.696,1.424,118.448,29.672,30.848,0.0,0.0095367431640625,0.0095367431640625,2245.888,0.0083446502685546,0.0083446502685546,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062000633466361,0.0083446502685546,0.0045001506805419,0.0052690505981445,0.0067174434661865,0.0154972076416015,0.0164508819580078,0.0093698501586914,0.0223636627197265,0.0221729278564453,0.0100910663604736,0.0217199325561523,0,0.496,1.696,1.696,1.424,115.792,29.672,30.848,0.0,0.0116825103759765,0.0116825103759765,273.008,0.0085830688476562,0.0085830688476562,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060280757163887,0.0081062316894531,0.0051535092867337,0.0062942504882812,0.0067174434661865,0.0154972076416015,0.0164508819580078,0.0093698501586914,0.0223636627197265,0.0221729278564453,0.0100910663604736,0.0217199325561523,0,0.496,1.696,1.696,1.424,114.648,29.672,30.848,0.0,0.0126361846923828,0.0126361846923828,43.208,0.0088214874267578,0.0088214874267578,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060007939884318,0.0078678131103515,0.0041212354387555,0.0050067901611328,0.0067174434661865,0.0154972076416015,0.0164508819580078,0.0093698501586914,0.0223636627197265,0.0221729278564453,0.0100910663604736,0.0217199325561523,0,0.496,1.696,1.696,1.424,115.112,29.672,30.848,0.0,0.0145435333251953,0.0145435333251953,1079.448,0.0073909759521484,0.0073909759521484,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063435948310206,0.0085830688476562,0.0039899451100928,0.0047683715820312,0.0067174434661865,0.0154972076416015,0.0164508819580078,0.0093698501586914,0.0223636627197265,0.0221729278564453,0.0100910663604736,0.0217199325561523,0,0.496,1.696,1.696,1.424,117.192,29.672,30.848,0.0,0.0069141387939453,0.0069141387939453,2506.0,0.011444091796875,0.011444091796875,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061380863189697,0.0081062316894531,0.0041664623823322,0.0050067901611328,0.0067174434661865,0.0154972076416015,0.0164508819580078,0.0093698501586914,0.0223636627197265,0.0221729278564453,0.0100910663604736,0.0217199325561523,0,0.496,1.696,1.696,1.424,112.0,29.672,30.848,0.0,0.0066757202148437,0.0066757202148437,600.536,0.0102519989013671,0.0102519989013671,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064114631690415,0.0087738037109375,0.0041360440461531,0.0053644180297851,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.392,119.576,29.672,30.848,0.0,0.0131130218505859,0.0131130218505859,449.984,0.0069141387939453,0.0069141387939453,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060997386970142,0.0080823898315429,0.0051430293491908,0.0069141387939453,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,118.448,29.672,30.848,0.0,0.0081062316894531,0.0081062316894531,54.04,0.0069141387939453,0.0069141387939453,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068232564642877,0.0090360641479492,0.0038903128651894,0.0045299530029296,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,118.448,29.672,30.848,0.0,0.0102519989013671,0.0102519989013671,13147.784,0.009775161743164,0.009775161743164,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060737133026123,0.0081062316894531,0.0045980725969587,0.005650520324707,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,112.0,29.672,30.848,0.0,0.0145435333251953,0.0145435333251953,104.64,0.009775161743164,0.009775161743164,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062661595863871,0.0085830688476562,0.0039307967476222,0.0045299530029296,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.392,122.384,29.672,30.848,0.0,0.0145435333251953,0.0145435333251953,1298.232,0.0078678131103515,0.0078678131103515,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062166754879168,0.0083446502685546,0.0046491622924804,0.0061750411987304,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,115.864,29.672,30.848,0.0,0.0121593475341796,0.0121593475341796,162.432,0.0102519989013671,0.0102519989013671,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067160497257365,0.0090599060058593,0.003988663628612,0.0047683715820312,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,115.864,29.672,30.848,0.0,0.0185966491699218,0.0185966491699218,9258.568,0.0078678131103515,0.0078678131103515,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068610257441454,0.0092983245849609,0.004054510105423,0.0050067901611328,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,118.448,29.672,30.848,0.0,0.0107288360595703,0.0107288360595703,3564.816,0.0100135803222656,0.0100135803222656,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064786117855865,0.0088214874267578,0.0044204093314505,0.0054836273193359,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,118.448,29.672,30.848,0.0,0.0112056732177734,0.0112056732177734,562.56,0.0123977661132812,0.0123977661132812,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066178860050616,0.0087976455688476,0.0039405292934841,0.0045299530029296,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,116.416,29.672,30.848,0.0,0.0126361846923828,0.0126361846923828,11268.912,0.0085830688476562,0.0085830688476562,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068299212859044,0.0092983245849609,0.0039429926290744,0.0045299530029296,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,115.608,29.672,30.848,0.0,0.0085830688476562,0.0085830688476562,6734.992,0.0095367431640625,0.0095367431640625,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062072277069091,0.0085830688476562,0.0053644180297851,0.0058412551879882,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,112.0,29.672,30.848,0.0,0.0085830688476562,0.0085830688476562,13.36,0.0081062316894531,0.0081062316894531,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062472749464582,0.0083446502685546,0.0041396529586226,0.0049114227294921,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,120.672,29.672,30.848,0.0,0.0112056732177734,0.0112056732177734,1211.928,0.0083446502685546,0.0083446502685546,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061751598149389,0.0081062316894531,0.0046661921909877,0.0069618225097656,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,114.296,29.672,30.848,0.0,0.0095367431640625,0.0095367431640625,71.688,0.0069141387939453,0.0069141387939453,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063898551523388,0.0088214874267578,0.0041295897285893,0.0050067901611328,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,113.256,29.672,30.848,0.0,0.0092983245849609,0.0092983245849609,1174.288,0.0078678131103515,0.0078678131103515,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061389847929254,0.0083446502685546,0.0039382731958186,0.0047683715820312,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.392,121.032,29.672,30.848,0.0,0.0092983245849609,0.0092983245849609,5930.992,0.0090599060058593,0.0090599060058593,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063535010460579,0.0085830688476562,0.0039968225691053,0.0047683715820312,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,118.448,29.672,30.848,0.0,0.0066757202148437,0.0066757202148437,1571.648,0.0085830688476562,0.0085830688476562,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062406063079833,0.0088214874267578,0.0045100847880045,0.0058889389038085,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,112.0,29.672,30.848,0.0,0.0071525573730468,0.0071525573730468,149.392,0.0090599060058593,0.0090599060058593,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070746582333404,0.0095367431640625,0.0040078284996331,0.0047683715820312,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,120.032,29.672,30.848,0.0,0.0121593475341796,0.0121593475341796,11511.904,0.0104904174804687,0.0104904174804687,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065393115750592,0.0090599060058593,0.0042145765280421,0.0057220458984375,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,117.192,29.672,30.848,0.0,0.0095367431640625,0.0095367431640625,1674.0,0.0090599060058593,0.0090599060058593,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061321258544921,0.0081062316894531,0.0,0.0,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,1.344,0.0,0.0,2.272,112.0,29.672,30.848,0.0,0.0107288360595703,0.012063980102539,0.0,0.0066280364990234,0.0064373016357421,0
