time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059306621551513,0.0081062316894531,0.0061988830566406,0.0079154968261718,0.0112056732177734,0.0065122331891741,0.0146389007568359,0.0083446502685546,0.0092302049909319,0.0102519989013671,0.0102519989013671,0.0113248825073242,0.0142812728881835,0.0189781188964843,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,18.944,0.009775161743164,0.009775161743164,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063354529223395,0.0085830688476562,0.0043945547975139,0.0054836273193359,0.0112056732177734,0.0065122331891741,0.0146389007568359,0.0083446502685546,0.0092302049909319,0.009775161743164,0.009775161743164,0.0113248825073242,0.0142812728881835,0.0189781188964843,0,0.496,1.36,1.696,1.696,137.36,25.152,27.344,0.0,1286.48,0.00762939453125,0.00762939453125,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064266790257822,0.0088214874267578,0.0043085643223353,0.0054836273193359,0.0112056732177734,0.0065122331891741,0.0146389007568359,0.0083446502685546,0.0092302049909319,0.009775161743164,0.009775161743164,0.0113248825073242,0.0142812728881835,0.0189781188964843,0,0.496,1.424,1.696,1.696,118.448,25.152,27.344,0.0,1814.496,0.0104904174804687,0.0104904174804687,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063959914858978,0.0081062316894531,0.0043380551221894,0.0054836273193359,0.0112056732177734,0.0065122331891741,0.0146389007568359,0.0083446502685546,0.0092302049909319,0.009775161743164,0.009775161743164,0.0113248825073242,0.0142812728881835,0.0189781188964843,0,0.496,1.424,1.696,1.696,118.448,25.152,27.344,0.0,1433.568,0.0085830688476562,0.0085830688476562,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064856935255598,0.0085830688476562,0.0044047832489013,0.0052452087402343,0.0112056732177734,0.0065122331891741,0.0146389007568359,0.0083446502685546,0.0092302049909319,0.0112056732177734,0.0112056732177734,0.0113248825073242,0.0142812728881835,0.0189781188964843,0,0.496,1.424,1.696,1.696,118.448,25.152,27.344,0.0,1042.608,0.0104904174804687,0.0104904174804687,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006535753088804,0.0088214874267578,0.0041470651732944,0.0050067901611328,0.0112056732177734,0.0065122331891741,0.0146389007568359,0.0083446502685546,0.0092302049909319,0.0126361846923828,0.0126361846923828,0.0113248825073242,0.0142812728881835,0.0189781188964843,0,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,2416.6,0.0071525573730468,0.0071525573730468,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066792787010989,0.0090599060058593,0.0042856475453317,0.0052452087402343,0.0112056732177734,0.0065122331891741,0.0146389007568359,0.0083446502685546,0.0092302049909319,0.0081062316894531,0.0081062316894531,0.0113248825073242,0.0142812728881835,0.0189781188964843,0,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,1995.08,0.0069141387939453,0.0069141387939453,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065998058413984,0.0095367431640625,0.0042149306204344,0.0050067901611328,0.0112056732177734,0.0065122331891741,0.0146389007568359,0.0083446502685546,0.0092302049909319,0.0102519989013671,0.0102519989013671,0.0113248825073242,0.0142812728881835,0.0189781188964843,0,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,2379.176,0.0069141387939453,0.0069141387939453,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066259014072702,0.0092983245849609,0.0042256556059184,0.0052452087402343,0.0112056732177734,0.0065122331891741,0.0146389007568359,0.0083446502685546,0.0092302049909319,0.0104904174804687,0.0104904174804687,0.0113248825073242,0.0142812728881835,0.0189781188964843,0,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,2058.976,0.0119209289550781,0.0119209289550781,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063098303162225,0.0083446502685546,0.0043358121599469,0.0052452087402343,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0150203704833984,0.0150203704833984,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,118.448,25.152,27.344,0.0,1202.288,0.0078678131103515,0.0078678131103515,0
