time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061167096628726,0.0083446502685546,0.0043127271864149,0.0120401382446289,0.0129938125610351,0.0051498413085937,0.0061375754220145,0.0144243240356445,0.0174760818481445,0.0081062316894531,0.0096116747174944,0.0121593475341796,0.0121593475341796,0.0193595886230468,0,0.496,1.696,1.36,1.696,132.544,25.152,27.344,0.0,448.792,0.0100135803222656,0.0100135803222656,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061190128326416,0.0083446502685546,0.0053246815999348,0.0120401382446289,0.0129938125610351,0.0067949295043945,0.0061375754220145,0.0144243240356445,0.0174760818481445,0.0081062316894531,0.0096116747174944,0.011444091796875,0.011444091796875,0.0193595886230468,0,0.496,1.696,1.424,1.696,112.0,25.152,27.344,0.0,52.848,0.00762939453125,0.00762939453125,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067878477644212,0.0095367431640625,0.003897694863036,0.0120401382446289,0.0129938125610351,0.0045299530029296,0.0061375754220145,0.0144243240356445,0.0174760818481445,0.0081062316894531,0.0096116747174944,0.0095367431640625,0.0095367431640625,0.0193595886230468,0,0.496,1.696,1.424,1.696,119.616,25.152,27.344,0.0,13149.144,0.0095367431640625,0.0095367431640625,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062570049988096,0.0085830688476562,0.0053644180297851,0.0120401382446289,0.0129938125610351,0.0073671340942382,0.0061375754220145,0.0144243240356445,0.0174760818481445,0.0081062316894531,0.0096116747174944,0.0126361846923828,0.0126361846923828,0.0193595886230468,0,0.496,1.696,1.424,1.696,113.256,25.152,27.344,0.0,103.28,0.00762939453125,0.00762939453125,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059158343986924,0.0078201293945312,0.0039359618877542,0.0,0.0,0.0045299530029296,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0112056732177734,0.0112056732177734,0.0193595886230468,0,0.496,0.0,1.392,0.0,123.64,25.152,27.344,0.0,1299.424,0.0078678131103515,0.0078678131103515,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059167937477036,0.0078678131103515,0.0045710596544989,0.0,0.0,0.0058174133300781,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0157356262207031,0.0157356262207031,0.0193595886230468,0,0.496,0.0,1.424,0.0,115.968,25.152,27.344,0.0,233.304,0.0078678131103515,0.0078678131103515,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006723166698247,0.0092983245849609,0.0039341679790563,0.0,0.0,0.0045299530029296,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0116825103759765,0.0116825103759765,0.0193595886230468,0,0.496,0.0,1.424,0.0,117.192,25.152,27.344,0.0,9692.384,0.0083446502685546,0.0083446502685546,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064005306111046,0.0085830688476562,0.0040393297364111,0.0,0.0,0.0047683715820312,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0100135803222656,0.0100135803222656,0.0193595886230468,0,0.496,0.0,1.424,0.0,115.16,25.152,27.344,0.0,3047.232,0.0100135803222656,0.0100135803222656,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006335973739624,0.0088453292846679,0.0045234209870638,0.0,0.0,0.0054836273193359,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0176429748535156,0.0176429748535156,0.0193595886230468,0,0.496,0.0,1.424,0.0,112.0,25.152,27.344,0.0,561.368,0.0126361846923828,0.0126361846923828,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063416981461024,0.0085830688476562,0.0038906952894288,0.0,0.0,0.0045299530029296,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0112056732177734,0.0112056732177734,0.0193595886230468,0,0.496,0.0,1.424,0.0,120.352,25.152,27.344,0.0,15171.6,0.00762939453125,0.00762939453125,0
