time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0061511993408203,0.0,0.0,0.0096321105957031,0.0086307525634765,0.0195503234863281,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,29.776,0.0,0.0123977661132812,0.0123977661132812,6.216,0.0071525573730468,0.0071525573730468,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0061511993408203,0.0,0.0,0.0096321105957031,0.0086307525634765,0.0195503234863281,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,29.776,0.0,0.0123977661132812,0.0123977661132812,6.216,0.0071525573730468,0.0071525573730468,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0061511993408203,0.0,0.0,0.0096321105957031,0.0086307525634765,0.0195503234863281,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,29.776,0.0,0.0123977661132812,0.0123977661132812,6.216,0.0071525573730468,0.0071525573730468,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0061511993408203,0.0,0.0,0.0096321105957031,0.0086307525634765,0.0195503234863281,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,29.776,0.0,0.0123977661132812,0.0123977661132812,6.216,0.0071525573730468,0.0071525573730468,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0061511993408203,0.0,0.0,0.0096321105957031,0.0086307525634765,0.0195503234863281,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,29.776,0.0,0.0123977661132812,0.0123977661132812,6.216,0.0071525573730468,0.0071525573730468,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0061511993408203,0.0,0.0,0.0096321105957031,0.0086307525634765,0.0195503234863281,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,29.776,0.0,0.0123977661132812,0.0123977661132812,6.216,0.0071525573730468,0.0071525573730468,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0061511993408203,0.0,0.0,0.0096321105957031,0.0086307525634765,0.0195503234863281,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,29.776,0.0,0.0123977661132812,0.0123977661132812,6.216,0.0071525573730468,0.0071525573730468,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0061511993408203,0.0,0.0,0.0096321105957031,0.0086307525634765,0.0195503234863281,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,29.776,0.0,0.0123977661132812,0.0123977661132812,6.216,0.0071525573730468,0.0071525573730468,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.007033348083496,0.0,0.0,0.0129938125610351,0.0082015991210937,0.0211000442504882,0.0,0.0,0.0,0.0,0.848,0.848,5.048,2.976,29.776,0.0,0.0123977661132812,0.0123977661132812,6.216,0.0071525573730468,0.0071525573730468,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.776,0.0,0.0,0.0,6.216,0.0,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0090507360605093,0.0061988830566406,0.0075817108154296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.776,0.0,0.0,0.0,6.216,0.0,0.0,0
