time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062496355264493,0.0085830688476562,0.0107288360595703,0.0107288360595703,0.0102519989013671,0.0102519989013671,0.008702278137207,0.0066144125802176,0.0099420547485351,0.0095367431640625,0.0096252986363002,0.0199794769287109,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,118.448,0.0,0.0143051147460937,0.0169754028320312,7.136,0.0173568725585937,0.0143051147460937,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069291119414251,0.0095367431640625,0.0088214874267578,0.0088214874267578,0.0112056732177734,0.0112056732177734,0.0038809003450819,0.0066144125802176,0.0045299530029296,0.0095367431640625,0.0096252986363002,0.0199794769287109,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,144.408,0.0,0.0143051147460937,0.0169754028320312,18906.04,0.0173568725585937,0.0143051147460937,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0067547996445457,0.0090599060058593,0.0121593475341796,0.0121593475341796,0.0133514404296875,0.0133514404296875,0.0039181780459275,0.0066144125802176,0.0045299530029296,0.0095367431640625,0.0096252986363002,0.0199794769287109,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,118.448,0.0,0.0143051147460937,0.0169754028320312,19352.824,0.0173568725585937,0.0143051147460937,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0070956215929629,0.009775161743164,0.0138282775878906,0.0138282775878906,0.0140666961669921,0.0140666961669921,0.0038728854866003,0.0066144125802176,0.0045299530029296,0.0095367431640625,0.0096252986363002,0.0199794769287109,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,117.192,0.0,0.0143051147460937,0.0169754028320312,18047.08,0.0173568725585937,0.0143051147460937,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059723854064941,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0066144125802176,0.0,0.0095367431640625,0.0096252986363002,0.0199794769287109,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0143051147460937,0.0169754028320312,0.0,0.0173568725585937,0.0143051147460937,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061953067779541,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.009775161743164,0.009775161743164,0.0,0.0066144125802176,0.0,0.0095367431640625,0.0096252986363002,0.0199794769287109,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0143051147460937,0.0169754028320312,0.0,0.0173568725585937,0.0143051147460937,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0068377978696024,0.0094890594482421,0.0069141387939453,0.0069141387939453,0.009775161743164,0.009775161743164,0.003882733311501,0.0,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,127.576,0.0,0.0143051147460937,0.0169754028320312,14130.6,0.0173568725585937,0.0143051147460937,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061716013286837,0.0083446502685546,0.005960464477539,0.005960464477539,0.0083446502685546,0.0083446502685546,0.0064373016357421,0.0,0.0064373016357421,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,0.0143051147460937,0.0169754028320312,1.192,0.0173568725585937,0.0143051147460937,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059818153950705,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0061988830566406,0.0070571899414062,0.0061988830566406,0.009918212890625,0.0140190124511718,0.0277042388916015,0.0,0.496,1.36,0.0,1.696,1.696,4.52,3.504,113.256,0.0,0.0143051147460937,0.0169754028320312,1.192,0.0173568725585937,0.0143051147460937,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060185864197081,0.0081062316894531,0.011444091796875,0.011444091796875,0.0066757202148437,0.0066757202148437,0.0042915344238281,0.0,0.0042915344238281,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,0.0143051147460937,0.0169754028320312,1.192,0.0173568725585937,0.0143051147460937,0
