time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0059887914374323,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0116825103759765,0.0116825103759765,0.0066757202148437,0.0081539154052734,0.0070980616978236,0.0107288360595703,0.0101975032261439,0.0223636627197265,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,118.448,0.0,0.0,0.0131130218505859,0.0178813934326171,15.528,0.0122785568237304,0.0156164169311523,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0072182088658429,0.0095367431640625,0.0081062316894531,0.0081062316894531,0.0128746032714843,0.0128746032714843,0.0038733151480529,0.0045299530029296,0.0070980616978236,0.0107288360595703,0.0101975032261439,0.0223636627197265,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,144.408,0.0,0.0,0.0131130218505859,0.0178813934326171,31887.752,0.0122785568237304,0.0156164169311523,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006319871589319,0.0088214874267578,0.0107288360595703,0.0107288360595703,0.0169277191162109,0.0169277191162109,0.0061988830566406,0.0061988830566406,0.0070980616978236,0.0107288360595703,0.0101975032261439,0.0223636627197265,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,113.256,0.0,0.0,0.0131130218505859,0.0178813934326171,1.192,0.0122785568237304,0.0156164169311523,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061500072479248,0.0085830688476562,0.0112056732177734,0.0112056732177734,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0070980616978236,0.0107288360595703,0.0101975032261439,0.0223636627197265,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0057792663574218,0.0076532363891601,0.0100135803222656,0.0100135803222656,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0070980616978236,0.0107288360595703,0.0101975032261439,0.0223636627197265,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0059235095977783,0.0078678131103515,0.0123977661132812,0.0123977661132812,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006089756144813,0.0083446502685546,0.0119209289550781,0.0119209289550781,0.0157356262207031,0.0157356262207031,0.0063180923461914,0.0081300735473632,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,117.192,0.0,0.0,0.0131130218505859,0.0178813934326171,15.36,0.0122785568237304,0.0156164169311523,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061680428424284,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0116825103759765,0.0116825103759765,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,0.0,0.0131130218505859,0.0178813934326171,1.192,0.0122785568237304,0.0156164169311523,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0067609519774211,0.009775161743164,0.0083446502685546,0.0083446502685546,0.0109672546386718,0.0109672546386718,0.003878515888147,0.0045299530029296,0.0071048736572265,0.0095844268798828,0.0112533569335937,0.0201225280761718,0.0,0.0,0.496,1.36,1.696,1.696,4.52,3.504,144.408,0.0,0.0,0.0131130218505859,0.0178813934326171,27513.0,0.0122785568237304,0.0156164169311523,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066140397864194,0.0088214874267578,0.0090599060058593,0.0090599060058593,0.0126361846923828,0.0126361846923828,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,0.0,0.0131130218505859,0.0178813934326171,1.192,0.0122785568237304,0.0156164169311523,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0059664249420166,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060129165649414,0.0083684921264648,0.009775161743164,0.009775161743164,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0059616565704345,0.0078916549682617,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0063419342041015,0.0082015991210937,0.0116825103759765,0.0216960906982421,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060391426086425,0.0078916549682617,0.0107288360595703,0.0107288360595703,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0062942504882812,0.0075817108154296,0.0113487243652343,0.0215053558349609,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0059130179941357,0.0078678131103515,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0066280364990234,0.0088691711425781,0.0108242034912109,0.027322769165039,0.0,0.0,0.496,1.36,1.696,1.696,8.264,7.736,113.256,0.0,0.0,0.0131130218505859,0.0178813934326171,1.192,0.0122785568237304,0.0156164169311523,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060102832851125,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.009775161743164,0.009775161743164,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,0.0,0.0131130218505859,0.0178813934326171,1.192,0.0122785568237304,0.0156164169311523,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065962473551432,0.0090599060058593,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0081062316894531,0.0038564562083718,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,144.408,0.0,0.0,0.0131130218505859,0.0178813934326171,22662.944,0.0122785568237304,0.0156164169311523,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0062906742095947,0.0088453292846679,0.0104904174804687,0.0104904174804687,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0058138370513916,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061666965484619,0.0083446502685546,0.00762939453125,0.00762939453125,0.0090599060058593,0.0090599060058593,0.0,0.0,0.006723403930664,0.0089168548583984,0.010538101196289,0.0197410583496093,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060772895812988,0.0081062316894531,0.009775161743164,0.009775161743164,0.0083446502685546,0.0083446502685546,0.0,0.0,0.008249282836914,0.0100612640380859,0.0103950500488281,0.018930435180664,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0.0131130218505859,0.0178813934326171,0.0,0.0122785568237304,0.0156164169311523,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0059391135600075,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0109672546386718,0.0109672546386718,0.0088214874267578,0.0088214874267578,0.0059127807617187,0.0081777572631835,0.0109672546386718,0.0258445739746093,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060767083618771,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0107288360595703,0.0107288360595703,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061459011501736,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.011444091796875,0.011444091796875,0.0038652060489894,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,144.408,0.0,0.0,0.0,0.0,6364.928,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.007370811196702,0.0095367431640625,0.0090599060058593,0.0090599060058593,0.0131130218505859,0.0131130218505859,0.0038818132167325,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,0.0,36298.456,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0068247318267822,0.0090599060058593,0.0109672546386718,0.0109672546386718,0.0164508819580078,0.0164508819580078,0.0,0.0,0.0061511993408203,0.0079631805419921,0.010538101196289,0.0189781188964843,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
