time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061528118336258,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0040603406501538,0.0047683715820312,0.0067097800118582,0.011444091796875,0.011444091796875,0.0091075897216796,0.0096252986363002,0.019693374633789,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,144.408,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,2645.616,0.0109434127807617,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.007078199103327,0.0095367431640625,0.009775161743164,0.009775161743164,0.0040379476376331,0.0047683715820312,0.0067097800118582,0.0116825103759765,0.0116825103759765,0.0091075897216796,0.0096252986363002,0.019693374633789,0.0,0.496,1.424,0.0,1.696,1.696,25.152,27.344,118.448,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,9262.112,0.0109434127807617,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0072011900185352,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0039972625412307,0.0045299530029296,0.0067097800118582,0.0116825103759765,0.0116825103759765,0.0091075897216796,0.0096252986363002,0.019693374633789,0.0,0.496,1.424,0.0,1.696,1.696,25.152,27.344,117.192,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,12302.592,0.0109434127807617,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0071027385654734,0.0095367431640625,0.0088214874267578,0.0088214874267578,0.0040760564640215,0.0047683715820312,0.0067097800118582,0.0104904174804687,0.0104904174804687,0.0091075897216796,0.0096252986363002,0.019693374633789,0.0,0.496,1.424,0.0,1.696,1.696,25.152,27.344,117.192,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,9476.144,0.0109434127807617,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0070576644062402,0.0095367431640625,0.0092983245849609,0.0092983245849609,0.004060883868607,0.0047683715820312,0.0067097800118582,0.0088214874267578,0.0088214874267578,0.0091075897216796,0.0096252986363002,0.019693374633789,0.0,0.496,1.424,0.0,1.696,1.696,25.152,27.344,117.192,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,10507.048,0.0109434127807617,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0068773677693077,0.0090599060058593,0.0126361846923828,0.0126361846923828,0.004090760883532,0.0047683715820312,0.0067097800118582,0.0085830688476562,0.0085830688476562,0.0091075897216796,0.0096252986363002,0.019693374633789,0.0,0.496,1.424,0.0,1.696,1.696,25.152,27.344,117.192,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,7183.696,0.0109434127807617,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069153249560303,0.0092983245849609,0.009775161743164,0.009775161743164,0.0040683071170232,0.0047683715820312,0.0067097800118582,0.0081062316894531,0.0081062316894531,0.0091075897216796,0.0096252986363002,0.019693374633789,0.0,0.496,1.424,0.0,1.696,1.696,25.152,27.344,117.192,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,4754.328,0.0109434127807617,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066462129649549,0.0092744827270507,0.013589859008789,0.013589859008789,0.0041286278384291,0.0047683715820312,0.0067097800118582,0.011444091796875,0.011444091796875,0.0091075897216796,0.0096252986363002,0.019693374633789,0.0,0.496,1.424,0.0,1.696,1.696,25.152,27.344,118.448,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,4637.808,0.0109434127807617,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0072670455026154,0.0095367431640625,0.0092983245849609,0.0092983245849609,0.004128923126011,0.0047683715820312,0.0070571899414062,0.0121593475341796,0.0121593475341796,0.0095367431640625,0.0107765197753906,0.0201702117919921,0.0,0.496,1.424,0.0,1.696,1.696,4.52,3.504,118.448,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,8187.256,0.0109434127807617,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.007246980572691,0.009775161743164,0.0095367431640625,0.0095367431640625,0.004116587966453,0.0047683715820312,0.0,0.0178813934326171,0.0178813934326171,0.0,0.0,0.0,0.0,0.496,1.424,0.0,1.696,1.696,0.0,0.0,118.448,0.0,0.0098943710327148,0.011444091796875,0.012969970703125,8222.512,0.0109434127807617,0
