time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071895932688296,0.0100135803222656,0.0095367431640625,0.0095367431640625,0.006866455078125,0.0038707828842634,0.0100135803222656,0.0045299530029296,0.0100135803222656,0.0094413757324218,0.0116348266601562,0.0219345092773437,0.0,0.496,1.36,0.0,1.696,1.696,3.504,4.52,143.152,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,36417.368,0.0075101852416992,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071895932688296,0.0100135803222656,0.0071525573730468,0.0071525573730468,0.006866455078125,0.0038707828842634,0.0107288360595703,0.0045299530029296,0.0107288360595703,0.0094413757324218,0.0116348266601562,0.0219345092773437,0.0,0.496,1.36,0.0,1.696,1.696,3.504,4.52,143.152,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,36417.368,0.0075101852416992,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.007328109361639,0.009775161743164,0.0100135803222656,0.0100135803222656,0.006866455078125,0.0038778397958901,0.0121593475341796,0.0045299530029296,0.0121593475341796,0.0094413757324218,0.0116348266601562,0.0219345092773437,0.0,0.496,1.424,0.0,1.696,1.696,3.504,4.52,117.192,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,41972.568,0.0075101852416992,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0072747320678103,0.0100135803222656,0.0104904174804687,0.0104904174804687,0.0070095062255859,0.0038877429578128,0.0133514404296875,0.0045299530029296,0.0133514404296875,0.0100612640380859,0.0124931335449218,0.0242233276367187,0.0,0.496,1.424,0.0,1.696,1.696,4.232,3.744,117.192,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,33687.776,0.0075101852416992,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0070947231632648,0.0095367431640625,0.0102519989013671,0.0102519989013671,0.0057935714721679,0.0039188950150101,0.0147819519042968,0.0045299530029296,0.0147819519042968,0.0083684921264648,0.0105142593383789,0.0255584716796875,0.0,0.496,1.424,0.0,1.696,1.696,7.736,8.264,118.448,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,1507.88,0.0075101852416992,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0068905329940342,0.0092983245849609,0.0092983245849609,0.0092983245849609,0.0,0.0058809916178385,0.0202655792236328,0.0075101852416992,0.0202655792236328,0.0,0.0,0.0,0.0,0.496,1.424,0.0,1.696,1.696,0.0,0.0,118.448,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,27.776,0.0075101852416992,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061466919248969,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0066757202148437,0.0054836273193359,0.0126361846923828,0.0054836273193359,0.0126361846923828,0.0085830688476562,0.0102043151855468,0.0193119049072265,0.0,0.496,1.424,0.0,1.696,1.696,4.232,3.744,113.256,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,1.192,0.0075101852416992,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059998035430908,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.005960464477539,0.0,0.0109672546386718,0.0,0.0109672546386718,0.0074386596679687,0.0119686126708984,0.02288818359375,0.0,0.496,1.392,0.0,1.696,1.696,4.232,3.744,112.0,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,0.0,0.0075101852416992,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060963630676269,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0059127807617187,0.0,0.0140666961669921,0.0,0.0140666961669921,0.0080108642578125,0.0110149383544921,0.0266075134277343,0.0,0.496,1.36,0.0,1.696,1.696,11.968,12.008,112.0,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,0.0,0.0075101852416992,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059115886688232,0.0076532363891601,0.0069141387939453,0.0069141387939453,0.0054836273193359,0.0,0.0143051147460937,0.0,0.0143051147460937,0.0069141387939453,0.0109672546386718,0.0217437744140625,0.0,0.496,1.36,0.0,1.696,1.696,4.232,3.744,112.0,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,0.0,0.0075101852416992,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063180923461914,0.0083684921264648,0.0073909759521484,0.0073909759521484,0.0074148178100585,0.0,0.0102519989013671,0.0,0.0102519989013671,0.0114679336547851,0.0098705291748046,0.0232219696044921,0.0,0.496,1.36,0.0,1.696,1.696,7.736,8.264,112.0,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,0.0,0.0075101852416992,0
