time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061618471608578,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0064443139468922,0.011444091796875,0.011444091796875,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0038712509860111,0.0211477279663085,0.0205039978027343,0.0045299530029296,0.496,1.36,1.696,1.696,25.68,26.816,143.152,0.0,8913.704,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071501850488767,0.0095367431640625,0.0104904174804687,0.0104904174804687,0.0064443139468922,0.0152587890625,0.0152587890625,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0038495281369263,0.0211477279663085,0.0205039978027343,0.0042915344238281,0.496,1.424,1.696,1.696,25.68,26.816,117.192,0.0,30854.312,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061750411987304,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0064443139468922,0.0109672546386718,0.0109672546386718,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0,0.0211477279663085,0.0205039978027343,0.0,0.496,1.424,1.696,1.696,25.68,26.816,112.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060826099564876,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0064443139468922,0.0100135803222656,0.0100135803222656,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0041195979485144,0.0211477279663085,0.0205039978027343,0.0050067901611328,0.496,1.424,1.696,1.696,25.68,26.816,121.16,0.0,973.952,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066108042650883,0.0090360641479492,0.0081062316894531,0.0081062316894531,0.0064443139468922,0.0162124633789062,0.0162124633789062,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0039004698032286,0.0211477279663085,0.0205039978027343,0.0045299530029296,0.496,1.424,1.696,1.696,25.68,26.816,118.448,0.0,8544.784,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066306460556106,0.0095367431640625,0.0085830688476562,0.0085830688476562,0.0064443139468922,0.0121593475341796,0.0121593475341796,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0038655956139725,0.0211477279663085,0.0205039978027343,0.0045299530029296,0.496,1.424,1.696,1.696,25.68,26.816,113.256,0.0,9761.216,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063357966961246,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0064443139468922,0.0152587890625,0.0152587890625,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0044534791190669,0.0211477279663085,0.0205039978027343,0.0054836273193359,0.496,1.424,1.696,1.696,25.68,26.816,122.384,0.0,360.488,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066828371873542,0.0090599060058593,0.0083446502685546,0.0083446502685546,0.0064443139468922,0.0112056732177734,0.0112056732177734,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0038871621996108,0.0211477279663085,0.0205039978027343,0.0045299530029296,0.496,1.424,1.696,1.696,25.68,26.816,115.48,0.0,5785.608,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068014533958624,0.0092983245849609,0.0073909759521484,0.0073909759521484,0.0064443139468922,0.0126361846923828,0.0126361846923828,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0038488659378563,0.0211477279663085,0.0205039978027343,0.0042915344238281,0.496,1.424,1.696,1.696,25.68,26.816,117.192,0.0,20969.768,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075795757236765,0.0102519989013671,0.0123977661132812,0.0123977661132812,0.0064443139468922,0.0247955322265625,0.0247955322265625,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0038505897019751,0.0211477279663085,0.0205039978027343,0.0045299530029296,0.496,1.424,1.696,1.696,25.68,26.816,117.192,0.0,38406.896,0
