time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059343689116672,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.00762939453125,0.0062465667724609,0.00762939453125,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0090599060058593,0.0209808349609375,0.0090599060058593,0.496,1.36,1.696,1.696,115.88,25.152,27.344,0.0,3.592,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061063624140041,0.0078678131103515,0.0092983245849609,0.0092983245849609,0.0131130218505859,0.0062465667724609,0.0131130218505859,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0078678131103515,0.0209808349609375,0.0078678131103515,0.496,1.424,1.696,1.696,115.304,25.152,27.344,0.0,3.016,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058993917380647,0.0082969665527343,0.0061988830566406,0.0061988830566406,0.0109672546386718,0.0062465667724609,0.0109672546386718,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0068346659342447,0.0209808349609375,0.0079631805419921,0.496,1.424,1.696,1.696,124.328,25.152,27.344,0.0,11.464,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059711399363048,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0109672546386718,0.0062465667724609,0.0109672546386718,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0057220458984375,0.0209808349609375,0.0057220458984375,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062000633466361,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0138282775878906,0.0062465667724609,0.0138282775878906,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0046888987223307,0.0209808349609375,0.0066757202148437,0.496,1.424,1.696,1.696,118.448,25.152,27.344,0.0,52.704,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060482404718351,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0128746032714843,0.0062465667724609,0.0128746032714843,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0064373016357421,0.0209808349609375,0.0064373016357421,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061285495758056,0.0088214874267578,0.0066757202148437,0.0066757202148437,0.0116825103759765,0.0062465667724609,0.0116825103759765,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0209808349609375,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061297416687011,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0054836273193359,0.0062465667724609,0.0054836273193359,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0209808349609375,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060081481933593,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0088214874267578,0.0062465667724609,0.0088214874267578,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0209808349609375,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062954425811767,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0121593475341796,0.0062465667724609,0.0121593475341796,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0209808349609375,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059652091258793,0.0078678131103515,0.00762939453125,0.00762939453125,0.009775161743164,0.0062465667724609,0.009775161743164,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0047683715820312,0.0209808349609375,0.0047683715820312,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061585535457478,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0081062316894531,0.0062465667724609,0.0081062316894531,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0090599060058593,0.0209808349609375,0.0090599060058593,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005931996587497,0.0081062316894531,0.00762939453125,0.00762939453125,0.0085830688476562,0.0062465667724609,0.0085830688476562,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0047683715820312,0.0209808349609375,0.0047683715820312,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058591365814208,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0062465667724609,0.0081062316894531,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0209808349609375,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059330463409423,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0092983245849609,0.0062465667724609,0.0092983245849609,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0209808349609375,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
