time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060469496483896,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0068051474434988,0.0100135803222656,0.0100135803222656,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0064849853515625,0.0210285186767578,0.0092029571533203,0.496,1.36,1.696,1.696,25.152,27.344,121.856,0.0,10.76,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006183614871772,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0068051474434988,0.0073909759521484,0.0073909759521484,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0050067901611328,0.0210285186767578,0.005960464477539,0.496,1.424,1.696,1.696,25.152,27.344,119.032,0.0,43.656,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064003467559814,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0068051474434988,0.0107288360595703,0.0107288360595703,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0046730041503906,0.0210285186767578,0.005340576171875,0.496,1.424,1.696,1.696,25.152,27.344,112.0,0.0,41.728,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060450267321957,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0068051474434988,0.0104904174804687,0.0104904174804687,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0053102319890802,0.0210285186767578,0.0064373016357421,0.496,1.424,1.696,1.696,25.152,27.344,117.912,0.0,23.336,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060434958234948,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0068051474434988,0.009775161743164,0.009775161743164,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0046730041503906,0.0210285186767578,0.0052452087402343,0.496,1.424,1.696,1.696,25.152,27.344,113.256,0.0,10.008,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062012436366317,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0068051474434988,0.011444091796875,0.011444091796875,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0052452087402343,0.0210285186767578,0.0056266784667968,0.496,1.36,1.696,1.696,25.152,27.344,115.648,0.0,3.296,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060019801505169,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0068051474434988,0.0121593475341796,0.0121593475341796,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0063010624476841,0.0210285186767578,0.0078201293945312,0.496,1.424,1.696,1.696,25.152,27.344,114.424,0.0,16.616,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061729166767384,0.0087976455688476,0.0078678131103515,0.0078678131103515,0.0068051474434988,0.0090599060058593,0.0090599060058593,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0049802992078993,0.0210285186767578,0.0057935714721679,0.496,1.424,1.696,1.696,25.152,27.344,118.192,0.0,45.28,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059819221496582,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0068051474434988,0.00762939453125,0.00762939453125,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0047683715820312,0.0210285186767578,0.0052452087402343,0.496,1.424,1.696,1.696,25.152,27.344,112.0,0.0,23.392,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062059647966139,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0068051474434988,0.0095367431640625,0.0095367431640625,0.01068115234375,0.0103712081909179,0.0100135803222656,0.0104665756225585,0.0105857849121093,0.0098909650530133,0.0042477878955526,0.0210285186767578,0.0052452087402343,0.496,1.392,1.696,1.696,25.152,27.344,121.44,0.0,998.936,0
