time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060715721648873,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.0162124633789062,0.0162124633789062,0.0111171177455357,0.004395842552185,0.0247955322265625,0.0054121017456054,0.496,1.36,0.848,0.848,25.152,27.344,139.424,0.0,581.68,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066045504897388,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.009775161743164,0.009775161743164,0.0111171177455357,0.0041425228118896,0.0247955322265625,0.0050067901611328,0.496,1.424,0.848,0.848,25.152,27.344,114.648,0.0,2387.408,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066460661627166,0.0095367431640625,0.0104904174804687,0.0104904174804687,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.0119209289550781,0.0119209289550781,0.0111171177455357,0.0043039198045606,0.0247955322265625,0.0050067901611328,0.496,1.424,0.848,0.848,25.152,27.344,114.968,0.0,479.48,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006593875030973,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.0090599060058593,0.0090599060058593,0.0111171177455357,0.0040845822561815,0.0247955322265625,0.0047683715820312,0.496,1.424,0.848,0.848,25.152,27.344,113.256,0.0,1730.184,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063856247023408,0.0087738037109375,0.0088214874267578,0.0088214874267578,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.0569820404052734,0.0569820404052734,0.0111171177455357,0.0049756920855978,0.0247955322265625,0.0066280364990234,0.496,1.392,0.848,0.848,25.152,27.344,123.64,0.0,165.592,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066202465850527,0.0090360641479492,0.0085830688476562,0.0085830688476562,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.0112056732177734,0.0112056732177734,0.0111171177455357,0.00446407418502,0.0247955322265625,0.0052452087402343,0.496,1.424,0.848,0.848,25.152,27.344,116.288,0.0,802.896,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068785539313928,0.0092983245849609,0.0088214874267578,0.0088214874267578,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.0095367431640625,0.0095367431640625,0.0111171177455357,0.004178407240887,0.0247955322265625,0.0050067901611328,0.496,1.424,0.848,0.848,25.152,27.344,117.192,0.0,4515.2,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061146655485997,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.0078678131103515,0.0078678131103515,0.0111171177455357,0.004887580871582,0.0247955322265625,0.0066757202148437,0.496,1.424,0.848,0.848,25.152,27.344,116.632,0.0,52.336,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006117820739746,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.0073909759521484,0.0073909759521484,0.0111171177455357,0.0057220458984375,0.0247955322265625,0.0059127807617187,0.496,1.424,0.848,0.848,25.152,27.344,112.0,0.0,6.384,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069105979239586,0.0095367431640625,0.009775161743164,0.009775161743164,0.0042915344238281,0.0069005148751395,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0094413757324218,0.0107288360595703,0.0107288360595703,0.0111171177455357,0.0038678550198877,0.0247955322265625,0.0045299530029296,0.496,1.424,0.848,0.848,25.152,27.344,120.688,0.0,29365.96,0
