time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061511993408203,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.006375994001116,0.0069141387939453,0.0071525573730468,0.0071525573730468,0.007033348083496,0.0085353851318359,0.0044761165495841,0.009012222290039,0.0052452087402343,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.36,1.696,1.696,25.152,142.592,27.344,0.0,295.064,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064420700073242,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.006375994001116,0.0069141387939453,0.00762939453125,0.00762939453125,0.007033348083496,0.0085353851318359,0.0044504801432291,0.009012222290039,0.0055551528930664,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.424,1.696,1.696,25.152,112.0,27.344,0.0,146.832,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063872337341308,0.0081062316894531,0.009775161743164,0.009775161743164,0.006375994001116,0.0069141387939453,0.005960464477539,0.005960464477539,0.007033348083496,0.0085353851318359,0.0,0.009012222290039,0.0,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.392,1.696,1.696,25.152,112.0,27.344,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059948631780064,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.006375994001116,0.0069141387939453,0.0102519989013671,0.0102519989013671,0.007033348083496,0.0085353851318359,0.0069141387939453,0.009012222290039,0.0069141387939453,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.36,1.696,1.696,25.152,113.256,27.344,0.0,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005873874645328,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.006375994001116,0.0069141387939453,0.0078678131103515,0.0078678131103515,0.007033348083496,0.0085353851318359,0.0052452087402343,0.009012222290039,0.0052452087402343,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.36,1.696,1.696,25.152,113.256,27.344,0.0,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00597469842256,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.006375994001116,0.0069141387939453,0.0109672546386718,0.0109672546386718,0.007033348083496,0.0085353851318359,0.0050067901611328,0.009012222290039,0.0050067901611328,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.36,1.696,1.696,25.152,113.256,27.344,0.0,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058305263519287,0.00762939453125,0.0066757202148437,0.0066757202148437,0.006375994001116,0.0069141387939453,0.0081062316894531,0.0081062316894531,0.007033348083496,0.0085353851318359,0.0,0.009012222290039,0.0,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.36,1.696,1.696,25.152,112.0,27.344,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065009570816188,0.0088214874267578,0.0131130218505859,0.0131130218505859,0.006375994001116,0.0069141387939453,0.0123977661132812,0.0123977661132812,0.007033348083496,0.0085353851318359,0.0038898525852533,0.009012222290039,0.0045299530029296,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.424,1.696,1.696,25.152,143.152,27.344,0.0,16958.456,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066009920034835,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.006375994001116,0.0069141387939453,0.0064373016357421,0.0064373016357421,0.007033348083496,0.0085353851318359,0.0039258430383323,0.009012222290039,0.0047683715820312,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.424,1.696,1.696,25.152,117.192,27.344,0.0,5831.272,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058436393737792,0.0074148178100585,0.0073909759521484,0.0073909759521484,0.006375994001116,0.0069141387939453,0.0071525573730468,0.0071525573730468,0.007033348083496,0.0085353851318359,0.0,0.009012222290039,0.0,0.0090360641479492,0.0098637172154017,0.0215053558349609,0.496,1.392,1.696,1.696,25.152,112.0,27.344,0.0,0.0,0
