time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058174133300781,0.00762939453125,0.0090599060058593,0.0090599060058593,0.0,0.0044107437133789,0.0045061111450195,0.0,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0088010515485491,0.0161170959472656,0.496,0.0,1.36,0.0,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0067451625194364,0.0091791152954101,0.0095367431640625,0.0095367431640625,0.0042142845811821,0.0044107437133789,0.0045061111450195,0.0050067901611328,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.0102519989013671,0.0102519989013671,0.0088010515485491,0.0161170959472656,0.496,0.0,1.36,0.0,1.696,1.696,143.848,25.152,27.344,0.0,4004.824,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059497890187733,0.0081062316894531,0.0147819519042968,0.0147819519042968,0.0042915344238281,0.0044107437133789,0.0045061111450195,0.0050783157348632,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.0107288360595703,0.0107288360595703,0.0088010515485491,0.0161170959472656,0.496,0.0,1.424,0.0,1.696,1.696,113.256,25.152,27.344,0.0,152.416,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060708651988964,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.004132588704427,0.0044107437133789,0.0045061111450195,0.0051259994506835,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0088010515485491,0.0161170959472656,0.496,0.0,1.424,0.0,1.696,1.696,123.64,25.152,27.344,0.0,932.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062285371087676,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0042451752556694,0.0044107437133789,0.0045061111450195,0.0052452087402343,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.0157356262207031,0.0157356262207031,0.0088010515485491,0.0161170959472656,0.496,0.0,1.424,0.0,1.696,1.696,117.192,25.152,27.344,0.0,687.056,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.00604705430975,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0041588660209409,0.0044107437133789,0.0045061111450195,0.0050067901611328,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0088010515485491,0.0161170959472656,0.496,0.0,1.424,0.0,1.696,1.696,117.192,25.152,27.344,0.0,1224.848,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0068121288546282,0.0092983245849609,0.0092983245849609,0.0092983245849609,0.0042004055447048,0.0044107437133789,0.0045061111450195,0.0052452087402343,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.0164508819580078,0.0164508819580078,0.0088010515485491,0.0161170959472656,0.496,0.0,1.424,0.0,1.696,1.696,117.192,25.152,27.344,0.0,2145.016,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064954235779112,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0042234148297991,0.0044107437133789,0.0045061111450195,0.0052452087402343,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0088010515485491,0.0161170959472656,0.496,0.0,1.424,0.0,1.696,1.696,117.192,25.152,27.344,0.0,1120.216,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064243184457911,0.0088214874267578,0.0166893005371093,0.0166893005371093,0.0041412980589148,0.0044107437133789,0.0045061111450195,0.005197525024414,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.0145435333251953,0.0145435333251953,0.0088010515485491,0.0161170959472656,0.496,0.0,1.424,0.0,1.696,1.696,118.448,25.152,27.344,0.0,707.448,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063983520658889,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0043668245014391,0.0044107437133789,0.0045061111450195,0.005340576171875,0.0065565109252929,0.0081777572631835,0.006028584071568,0.0078678131103515,0.009775161743164,0.009775161743164,0.0088010515485491,0.0161170959472656,0.496,0.0,1.424,0.0,1.696,1.696,118.448,25.152,27.344,0.0,569.464,0
