time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006159722517078,0.0085830688476562,0.00762939453125,0.00762939453125,0.0042542308366217,0.0052452087402343,0.0065735408238002,0.0088214874267578,0.0088214874267578,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,132.296,0.0,1133.608,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063086500262269,0.0083208084106445,0.0133514404296875,0.0133514404296875,0.0041000178602875,0.0050067901611328,0.0065735408238002,0.00762939453125,0.00762939453125,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.424,0.0,1.696,1.696,25.152,27.344,118.448,0.0,1740.92,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060820579528808,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0045516274192116,0.0057220458984375,0.0065735408238002,0.0104904174804687,0.0104904174804687,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.424,0.0,1.696,1.696,25.152,27.344,112.696,0.0,86.952,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058197975158691,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0065735408238002,0.0119209289550781,0.0119209289550781,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.392,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059926509857177,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0065735408238002,0.0102519989013671,0.0102519989013671,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060856342315673,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0065735408238002,0.0078678131103515,0.0078678131103515,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060176849365234,0.0078916549682617,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0065735408238002,0.0064373016357421,0.0064373016357421,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060553574443456,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0065735408238002,0.0107288360595703,0.0107288360595703,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,113.256,0.0,1.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006103990089834,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0065735408238002,0.0073909759521484,0.0073909759521484,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,113.256,0.0,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060454453572188,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0048279762268066,0.006103515625,0.0065735408238002,0.0085830688476562,0.0085830688476562,0.0094890594482421,0.0140666961669921,0.014662742614746,0.0169277191162109,0.0168561935424804,0.009291512625558,0.0173091888427734,0.0,0.496,1.36,0.0,1.696,1.696,25.152,27.344,118.448,0.0,31.52,0
