time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062593599645102,0.0081062316894531,0.00762939453125,0.00762939453125,0.0045299530029296,0.004431780646829,0.0112056732177734,0.0112056732177734,0.0045299530029296,0.0055313110351562,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,128.424,25.152,27.344,0.0,145.416,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006258487701416,0.0085115432739257,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0045670403374565,0.0078678131103515,0.0078678131103515,0.0045299530029296,0.0057220458984375,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.424,0.0,0.848,0.848,120.288,25.152,27.344,0.0,293.32,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.00600531549737,0.0078439712524414,0.0090599060058593,0.0090599060058593,0.0045299530029296,0.0057220458984375,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0057220458984375,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.424,0.0,0.848,0.848,113.816,25.152,27.344,0.0,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0057771577307926,0.00762939453125,0.0085830688476562,0.0085830688476562,0.0045299530029296,0.0,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,111.44,25.152,27.344,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006028413772583,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0,0.0066757202148437,0.0066757202148437,0.0045299530029296,0.0,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,112.0,25.152,27.344,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060701370239257,0.0078916549682617,0.00762939453125,0.00762939453125,0.0045299530029296,0.0,0.0078678131103515,0.0078678131103515,0.0045299530029296,0.0,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,112.0,25.152,27.344,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061678886413574,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0045299530029296,0.0,0.0092983245849609,0.0092983245849609,0.0045299530029296,0.0,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,112.0,25.152,27.344,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062576068445966,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0070730845133463,0.009775161743164,0.009775161743164,0.0045299530029296,0.0077724456787109,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,119.928,25.152,27.344,0.0,7.288,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063080099684682,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0064373016357421,0.0078678131103515,0.0078678131103515,0.0045299530029296,0.0064373016357421,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.424,0.0,0.848,0.848,113.256,25.152,27.344,0.0,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062799218840199,0.0085353851318359,0.0081062316894531,0.0081062316894531,0.0045299530029296,0.0066757202148437,0.0104904174804687,0.0104904174804687,0.0045299530029296,0.0082015991210937,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,119.16,25.152,27.344,0.0,6.52,0
