time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058537098898816,0.0073909759521484,0.0088214874267578,0.0059945242745535,0.0085830688476562,0.0088214874267578,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0102519989013671,0.0102519989013671,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,117.192,25.152,27.344,0.0,0.0071525573730468,0.0071525573730468,5.944,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065264192599694,0.0088214874267578,0.0038511869384021,0.0059945242745535,0.0085830688476562,0.0045299530029296,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0100135803222656,0.0100135803222656,0.0091416495186941,0.0181198120117187,0,0.496,1.424,1.696,1.696,143.152,25.152,27.344,0.0,0.0095367431640625,0.0095367431640625,18974.528,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065482488953241,0.0090360641479492,0.0038572771321272,0.0059945242745535,0.0085830688476562,0.0045299530029296,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0154972076416015,0.0154972076416015,0.0091416495186941,0.0181198120117187,0,0.496,1.424,1.696,1.696,118.448,25.152,27.344,0.0,0.0088214874267578,0.0088214874267578,19213.464,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0071619996930112,0.0092983245849609,0.0038744520480446,0.0059945242745535,0.0085830688476562,0.0045299530029296,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.013589859008789,0.013589859008789,0.0091416495186941,0.0181198120117187,0,0.496,1.424,1.696,1.696,118.448,25.152,27.344,0.0,0.0092983245849609,0.0092983245849609,18396.672,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058703161590728,0.0078678131103515,0.0054836273193359,0.0059945242745535,0.0085830688476562,0.0054836273193359,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0100135803222656,0.0100135803222656,0.0091416495186941,0.0181198120117187,0,0.496,1.424,1.696,1.696,113.256,25.152,27.344,0.0,0.0069141387939453,0.0069141387939453,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059306621551513,0.0081062316894531,0.0,0.0059945242745535,0.0085830688476562,0.0,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.011444091796875,0.011444091796875,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0061988830566406,0.0061988830566406,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064713614327566,0.0088214874267578,0.0038490901657887,0.0059945242745535,0.0085830688476562,0.0045299530029296,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0202655792236328,0.0202655792236328,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,127.576,25.152,27.344,0.0,0.0154972076416015,0.0154972076416015,14180.824,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060474872589111,0.0081300735473632,0.0,0.0059945242745535,0.0085830688476562,0.0,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0119209289550781,0.0119209289550781,0.0091416495186941,0.0181198120117187,0,0.496,1.424,1.696,1.696,112.0,25.152,27.344,0.0,0.009775161743164,0.009775161743164,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059783458709716,0.0085830688476562,0.0,0.0059945242745535,0.0085830688476562,0.0,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0081062316894531,0.0081062316894531,0.0091416495186941,0.0181198120117187,0,0.496,1.392,1.696,1.696,112.0,25.152,27.344,0.0,0.005960464477539,0.005960464477539,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058288004860949,0.0078678131103515,0.0069141387939453,0.0059945242745535,0.0085830688476562,0.0069141387939453,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0112056732177734,0.0112056732177734,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.00762939453125,0.00762939453125,1.192,0
