time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061236538933318,0.0081062316894531,0.0056028366088867,0.0058889389038085,0.0069141387939453,0.009012222290039,0.0053644180297851,0.0,0.0072240829467773,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0,0.496,1.36,1.696,1.696,0.0,0.0,135.584,0.0,0.0069141387939453,0.0069141387939453,123.04,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006028921297281,0.0083446502685546,0.0056028366088867,0.0058889389038085,0.0069141387939453,0.009012222290039,0.004744529724121,0.0,0.0065565109252929,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0,0.496,1.424,1.696,1.696,0.0,0.0,118.448,0.0,0.00762939453125,0.00762939453125,62.0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059061711377436,0.00762939453125,0.0056028366088867,0.0058889389038085,0.0069141387939453,0.009012222290039,0.0068346659342447,0.0065326690673828,0.0083446502685546,0.00762939453125,0.00762939453125,0.0084877014160156,0.0131130218505859,0.023651123046875,0,0.496,1.424,1.696,1.696,3.504,4.52,117.248,0.0,0.0107288360595703,0.0107288360595703,7.32,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061549950594925,0.0088214874267578,0.0056028366088867,0.0058889389038085,0.0069141387939453,0.009012222290039,0.0069141387939453,0.0,0.0069141387939453,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0,0.496,1.424,1.696,1.696,0.0,0.0,113.256,0.0,0.0069141387939453,0.0069141387939453,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059449672698974,0.0081300735473632,0.0056028366088867,0.0058889389038085,0.0069141387939453,0.009012222290039,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063003879962581,0.0083446502685546,0.0056028366088867,0.0058889389038085,0.0069141387939453,0.009012222290039,0.0065326690673828,0.0,0.008249282836914,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0,0.496,1.36,1.696,1.696,0.0,0.0,117.904,0.0,0.0066757202148437,0.0066757202148437,12.216,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060719637135368,0.0081062316894531,0.0056028366088867,0.0058889389038085,0.0069141387939453,0.009012222290039,0.0038913652008655,0.0061988830566406,0.0045299530029296,0.0081062316894531,0.0081062316894531,0.0066041946411132,0.0113248825073242,0.0205039978027343,0,0.496,1.424,1.696,1.696,3.704,4.272,117.192,0.0,0.0081062316894531,0.0081062316894531,2874.424,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060188770294189,0.0081062316894531,0.0056028366088867,0.0058889389038085,0.0069141387939453,0.009012222290039,0.0,0.0062465667724609,0.0,0.0102519989013671,0.0102519989013671,0.007486343383789,0.0113487243652343,0.0216484069824218,0,0.496,1.424,1.696,1.696,4.232,3.744,112.0,0.0,0.00762939453125,0.00762939453125,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059982337573967,0.0083446502685546,0.0,0.0,0.0,0.0,0.0053644180297851,0.006270408630371,0.006413459777832,0.0109672546386718,0.0109672546386718,0.0088453292846679,0.0108718872070312,0.0265359878540039,0,0.496,1.36,0.0,0.0,7.736,8.264,116.544,0.0,0.0081062316894531,0.0081062316894531,4.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060968731173235,0.0083446502685546,0.0,0.0,0.0,0.0,0.0071525573730468,0.0,0.0071525573730468,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0,0.496,1.424,0.0,0.0,0.0,0.0,113.256,0.0,0.0085830688476562,0.0085830688476562,1.192,0
