time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006722240913205,0.0090599060058593,0.0041770514937749,0.0115633010864257,0.0,0.0050067901611328,0.0127553939819335,0.0145196914672851,0.0164747238159179,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0,0.496,1.696,1.36,1.696,0.0,0.0,142.592,0.0,0.0069141387939453,0.0069141387939453,2246.536,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063121908962136,0.0085830688476562,0.0039536685229622,0.0115633010864257,0.0,0.0047683715820312,0.0127553939819335,0.0145196914672851,0.0164747238159179,0.0,0.0159740447998046,0.0159740447998046,0.0,0.0,0,0.496,1.696,1.424,1.696,0.0,0.0,118.448,0.0,0.0090599060058593,0.0090599060058593,3823.344,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059367412358374,0.0078678131103515,0.0051259994506835,0.0115633010864257,0.0067710876464843,0.0056028366088867,0.0127553939819335,0.0145196914672851,0.0164747238159179,0.0092506408691406,0.013589859008789,0.013589859008789,0.011444091796875,0.0210762023925781,0,0.496,1.696,1.424,1.696,3.504,4.52,113.256,0.0,0.0085830688476562,0.0085830688476562,6.112,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062305939021368,0.0082969665527343,0.0039441611177177,0.0115633010864257,0.0,0.0047683715820312,0.0127553939819335,0.0145196914672851,0.0164747238159179,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0,0.496,1.696,1.392,1.696,0.0,0.0,123.64,0.0,0.0095367431640625,0.0095367431640625,2106.352,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061917660841301,0.0083446502685546,0.0052650769551595,0.0115633010864257,0.0,0.0063657760620117,0.0127553939819335,0.0145196914672851,0.0164747238159179,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0,0.496,1.696,1.424,1.696,0.0,0.0,115.288,0.0,0.0073909759521484,0.0073909759521484,63.216,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061917304992675,0.0081300735473632,0.0042716662089029,0.0115633010864257,0.0,0.0058412551879882,0.0127553939819335,0.0145196914672851,0.0164747238159179,0.0,0.0150203704833984,0.0150203704833984,0.0,0.0,0,0.496,1.696,1.424,1.696,0.0,0.0,112.0,0.0,0.0081062316894531,0.0081062316894531,120.72,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060045719146728,0.0078678131103515,0.0,0.0115633010864257,0.005960464477539,0.0,0.0127553939819335,0.0145196914672851,0.0164747238159179,0.0063657760620117,0.0083446502685546,0.0083446502685546,0.0114838282267252,0.0199079513549804,0,0.496,1.696,1.392,1.696,3.704,4.272,112.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059711933135986,0.00762939453125,0.0,0.0115633010864257,0.0069618225097656,0.0,0.0127553939819335,0.0145196914672851,0.0164747238159179,0.0084877014160156,0.0119209289550781,0.0119209289550781,0.010538101196289,0.0195026397705078,0,0.496,1.696,1.36,1.696,4.232,3.744,112.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005956958321964,0.0078678131103515,0.0067353248596191,0.0,0.0065803527832031,0.0083684921264648,0.0,0.0,0.0,0.0087738037109375,0.0126361846923828,0.0126361846923828,0.0105142593383789,0.0260829925537109,0,0.496,0.0,1.36,0.0,7.736,8.264,126.224,0.0,0.0073909759521484,0.0073909759521484,14.56,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060826391723025,0.0085830688476562,0.0057220458984375,0.0,0.0,0.0057220458984375,0.0,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0,0.496,0.0,1.424,0.0,0.0,0.0,113.256,0.0,0.0066757202148437,0.0066757202148437,1.192,0
