time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_retransmissions_ul_count,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061351473968808,0.0081062316894531,0.0042234148297991,0.005340576171875,0.0065599169049944,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.36,1.696,1.696,119.824,25.152,27.344,0.0,0.0085830688476562,0.0085830688476562,698.824,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059382588255639,0.0082731246948242,0.0043937138148716,0.0051021575927734,0.0065599169049944,0.0085830688476562,0.009775161743164,0.009775161743164,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.424,1.696,1.696,132.768,25.152,27.344,0.0,0.0069141387939453,0.0069141387939453,65.016,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006281096359779,0.0085353851318359,0.003950936453683,0.0045299530029296,0.0065599169049944,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.424,1.696,1.696,123.64,25.152,27.344,0.0,0.0071525573730468,0.0071525573730468,1255.92,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006614345135075,0.0090360641479492,0.0039322780129688,0.0047683715820312,0.0065599169049944,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.424,1.696,1.696,118.448,25.152,27.344,0.0,0.0095367431640625,0.0095367431640625,8156.288,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063329193722549,0.0083446502685546,0.0038947258795891,0.0045299530029296,0.0065599169049944,0.0085830688476562,0.0116825103759765,0.0116825103759765,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.424,1.696,1.696,113.256,25.152,27.344,0.0,0.0081062316894531,0.0081062316894531,1548.216,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062918663024902,0.0090599060058593,0.0,0.0,0.0065599169049944,0.0085830688476562,0.0057220458984375,0.0057220458984375,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.392,1.696,1.696,112.0,25.152,27.344,0.0,0.0092983245849609,0.0092983245849609,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060057640075683,0.0078678131103515,0.0,0.0,0.0065599169049944,0.0085830688476562,0.00762939453125,0.00762939453125,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0071525573730468,0.0071525573730468,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060761676115148,0.0081062316894531,0.0040155869943124,0.0045299530029296,0.0065599169049944,0.0085830688476562,0.00762939453125,0.00762939453125,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.36,1.696,1.696,132.768,25.152,27.344,0.0,0.0095367431640625,0.0095367431640625,1236.912,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061644843561732,0.0083446502685546,0.0040678330409673,0.0050067901611328,0.0065599169049944,0.0085830688476562,0.0104904174804687,0.0104904174804687,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.424,1.696,1.696,117.192,25.152,27.344,0.0,0.00762939453125,0.00762939453125,894.504,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061705560967473,0.0083446502685546,0.0040244535018837,0.0047683715820312,0.0065599169049944,0.0085830688476562,0.009775161743164,0.009775161743164,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.424,1.696,1.696,116.656,25.152,27.344,0.0,0.0071525573730468,0.0071525573730468,1928.296,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065895590451684,0.0088214874267578,0.0038929567992232,0.0045299530029296,0.0065599169049944,0.0085830688476562,0.0169277191162109,0.0169277191162109,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.424,1.696,1.696,118.448,25.152,27.344,0.0,0.0107288360595703,0.0107288360595703,7322.024,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064776311466349,0.0085830688476562,0.0040675109287477,0.0050067901611328,0.0065599169049944,0.0085830688476562,0.0116825103759765,0.0116825103759765,0.0133514404296875,0.0133514404296875,0.0148773193359375,0.0091893332345145,0.016021728515625,0.0187873840332031,0.496,0,1.424,1.696,1.696,117.888,25.152,27.344,0.0,0.00762939453125,0.00762939453125,2807.416,0
