time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0062806265694754,0.0,0.0,0.0086307525634765,0.0,0.0,0.0094073159354073,0.0184059143066406,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0062806265694754,0.0,0.0,0.0086307525634765,0.0,0.0,0.0094073159354073,0.0184059143066406,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0062806265694754,0.0,0.0,0.0086307525634765,0.0,0.0,0.0094073159354073,0.0184059143066406,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0062806265694754,0.0,0.0,0.0086307525634765,0.0,0.0,0.0094073159354073,0.0184059143066406,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0062806265694754,0.0,0.0,0.0086307525634765,0.0,0.0,0.0094073159354073,0.0184059143066406,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0062806265694754,0.0,0.0,0.0086307525634765,0.0,0.0,0.0094073159354073,0.0184059143066406,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0062806265694754,0.0,0.0,0.0086307525634765,0.0,0.0,0.0094073159354073,0.0184059143066406,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0062806265694754,0.0,0.0,0.0086307525634765,0.0,0.0,0.0094073159354073,0.0184059143066406,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0064373016357421,0.0,0.0,0.0086784362792968,0.0,0.0,0.0124931335449218,0.0220298767089843,0.0,0.0,0.0,0.0,0.848,0.848,4.52,3.504,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089368512553553,0.0109672546386718,0.0050663948059082,0.0059127807617187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.848,0.0,0.0,32.656,0.0,0.0209808349609375,0.0209808349609375,0.0064373016357421,0.0064373016357421,6.216,0
