time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060013362339564,0.0,0.0,0.0078678131103515,0.0,0.0,0.009012222290039,0.0169277191162109,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,0.0,0.0,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,0.0,0.0,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066280364990234,0.0,0.0,0.009012222290039,0.0,0.0,0.0123500823974609,0.0222206115722656,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,4.52,3.504,0.0,0.496,0.0195503234863281,0.0088214874267578,0.0195503234863281,0.0088214874267578,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065326690673828,0.0,0.0,0.0087738037109375,0.0,0.0,0.0108718872070312,0.0195980072021484,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.848,0.848,3.744,4.232,0.0,0.496,0.0052452087402343,0.017404556274414,0.0052452087402343,0.017404556274414,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060081481933593,0.0,0.0,0.0078201293945312,0.0,0.0,0.0106334686279296,0.0203132629394531,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,3.744,4.232,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071048736572265,0.0,0.0,0.0101327896118164,0.0,0.0,0.0102043151855468,0.0233888626098632,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,8.264,7.736,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
