time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0089406967163085,0.0118017196655273,0.0056028366088867,0.0064168657575334,0.0071525573730468,0.0,0.0,0.0087261199951171,0.0,0.0,0.0096116747174944,0.0185966491699218,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,0.0286102294921875,0.0107288360595703,0.0,29.776,0.0286102294921875,0.0107288360595703,6.216,0
