time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_packet_loss_dl_percentage,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062864183803687,0.0088214874267578,0.00762939453125,0.00762939453125,0.0063214983258928,0.0038924028344913,0.0116825103759765,0.0116825103759765,0.0045299530029296,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,144.408,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,15834.744,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.007083759972112,0.0095367431640625,0.0140666961669921,0.0140666961669921,0.0063214983258928,0.0039017348756269,0.017404556274414,0.017404556274414,0.0045299530029296,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,117.888,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,20254.744,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060885699827279,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0063214983258928,0.0054836273193359,0.0116825103759765,0.0116825103759765,0.0054836273193359,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,113.256,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059163570404052,0.0078678131103515,0.0092983245849609,0.0092983245849609,0.0063214983258928,0.0,0.0145435333251953,0.0145435333251953,0.0,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,112.0,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006270408630371,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0063214983258928,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,112.0,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070041301203709,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0063214983258928,0.0038814152219167,0.0090599060058593,0.0090599060058593,0.0045299530029296,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,132.768,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,26704.208,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0074708461761474,0.0097990036010742,0.009775161743164,0.009775161743164,0.0063214983258928,0.0038938098675752,0.0092983245849609,0.0092983245849609,0.0045299530029296,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,116.632,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,24199.408,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061253410073655,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0063214983258928,0.0066757202148437,0.0109672546386718,0.0109672546386718,0.0066757202148437,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,113.256,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,1.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006132457979876,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0063214983258928,0.0050067901611328,0.0078678131103515,0.0078678131103515,0.0050067901611328,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,113.256,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0057920294614573,0.0071525573730468,0.0069141387939453,0.0069141387939453,0.0063214983258928,0.005960464477539,0.0133514404296875,0.0133514404296875,0.005960464477539,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,113.256,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,1.192,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061631202697753,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0063214983258928,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,112.0,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,0.0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059247016906738,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0063214983258928,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,112.0,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060565263322256,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0063214983258928,0.0039688131427238,0.0140666961669921,0.0140666961669921,0.0047683715820312,0.0084877014160156,0.0099454607282366,0.022125244140625,0.0,0.496,1.36,1.696,1.696,25.152,27.344,141.568,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,4027.664,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.007255753474449,0.0100135803222656,0.009775161743164,0.009775161743164,0.0,0.0038858614102496,0.0102519989013671,0.0102519989013671,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,117.192,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,20454.616,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006930662853883,0.0095367431640625,0.009775161743164,0.009775161743164,0.0068187713623046,0.0039292190657639,0.0193119049072265,0.0193119049072265,0.0047683715820312,0.0091552734375,0.01220703125,0.020456314086914,0.0,0.496,1.36,1.696,1.696,4.52,3.504,118.448,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,13936.232,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065879442205476,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0,0.0039218932159187,0.011444091796875,0.011444091796875,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,6858.456,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061068204369875,0.0083446502685546,0.0116825103759765,0.0116825103759765,0.0,0.0051657358805338,0.0078678131103515,0.0078678131103515,0.0069618225097656,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,116.096,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,34.36,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060677528381347,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059962272644042,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0098228454589843,0.012826919555664,0.0241756439208984,0.0,0.496,1.36,1.696,1.696,3.744,4.232,112.0,0.0090599060058593,0.0,0.0119209289550781,0.0107288360595703,0.0078678131103515,0.0,0
