time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0060476907869664,0.0147819519042968,0.0147819519042968,0.0119209289550781,0.0119209289550781,0.0058174133300781,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0072479248046875,0.011301040649414,0.0215530395507812,0.0041450772966657,0.0050306320190429,0.496,1.36,1.696,1.696,4.232,3.744,139.984,0.0,759.088,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0063578287760416,0.0066757202148437,0.0066757202148437,0.009775161743164,0.009775161743164,0.0058174133300781,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0072479248046875,0.011301040649414,0.0215530395507812,0.0038540441226335,0.0045299530029296,0.496,1.424,1.696,1.696,4.232,3.744,117.192,0.0,6756.224,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0063708765589775,0.0109672546386718,0.0109672546386718,0.0138282775878906,0.0138282775878906,0.0056743621826171,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0074386596679687,0.0103473663330078,0.01983642578125,0.0038491194009056,0.0045299530029296,0.496,1.424,1.696,1.696,4.232,3.744,117.192,0.0,7218.736,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061087347381743,0.00762939453125,0.00762939453125,0.0104904174804687,0.0104904174804687,0.0058809916178385,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0083446502685546,0.0100453694661458,0.0241756439208984,0.0042915344238281,0.0042915344238281,0.496,1.424,1.696,1.696,11.968,12.008,113.256,0.0,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0061111070623445,0.0078678131103515,0.0078678131103515,0.0104904174804687,0.0104904174804687,0.0063896179199218,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0084400177001953,0.0111103057861328,0.0217437744140625,0.0047683715820312,0.0047683715820312,0.496,1.36,1.696,1.696,4.232,3.744,113.256,0.0,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092983245849609,0.0069199823865703,0.0090599060058593,0.0090599060058593,0.0104904174804687,0.0104904174804687,0.0058650970458984,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0083684921264648,0.0101089477539062,0.0250101089477539,0.003811965792542,0.0042915344238281,0.496,1.36,1.696,1.696,7.736,8.264,123.04,0.0,20833.288,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078916549682617,0.0059926509857177,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0,0.0,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0059151649475097,0.0090599060058593,0.0090599060058593,0.0166893005371093,0.0166893005371093,0.0058650970458984,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0074386596679687,0.0107765197753906,0.0199794769287109,0.0,0.0,0.496,1.36,1.696,1.696,4.232,3.744,112.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0060655102871432,0.0092983245849609,0.0092983245849609,0.0126361846923828,0.0126361846923828,0.0066757202148437,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0094890594482421,0.0103473663330078,0.0193119049072265,0.0067949295043945,0.0070810317993164,0.496,1.36,1.696,1.696,4.232,3.744,119.904,0.0,9.392,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060767083618771,0.0092983245849609,0.0092983245849609,0.0102519989013671,0.0102519989013671,0.0056425730387369,0.0073909759521484,0.0082254409790039,0.0090837478637695,0.0098705291748046,0.0080108642578125,0.010236104329427,0.0259876251220703,0.0045299530029296,0.0055789947509765,0.496,1.424,1.696,1.696,11.968,12.008,117.192,0.0,28.024,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0063315988174212,0.0069141387939453,0.0069141387939453,0.0112056732177734,0.0112056732177734,0.0064373016357421,0.0,0.0,0.0,0.0,0.0088691711425781,0.0116825103759765,0.0218868255615234,0.0038044500487581,0.0042915344238281,0.496,1.424,0.0,0.0,4.232,3.744,123.64,0.0,15775.552,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092744827270507,0.0066662778948793,0.009775161743164,0.009775161743164,0.0107288360595703,0.0107288360595703,0.006103515625,0.0,0.0,0.0,0.0,0.007939338684082,0.0101566314697265,0.0257253646850585,0.0038690204861797,0.0045299530029296,0.496,1.424,0.0,0.0,7.736,8.264,118.448,0.0,2672.168,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0060850114964727,0.0078678131103515,0.0078678131103515,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057220458984375,0.0057220458984375,0.496,1.424,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0059497890187733,0.0083446502685546,0.0083446502685546,0.0150203704833984,0.0150203704833984,0.0057697296142578,0.0,0.0,0.0,0.0,0.0075817108154296,0.0119209289550781,0.0233173370361328,0.0054836273193359,0.0083446502685546,0.496,1.36,0.0,0.0,4.232,3.744,114.712,0.0,96.056,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060383636172455,0.0104904174804687,0.0104904174804687,0.0116825103759765,0.0116825103759765,0.0060081481933593,0.0,0.0,0.0,0.0,0.0076770782470703,0.0102043151855468,0.0194549560546875,0.0048160552978515,0.0066280364990234,0.496,1.424,0.0,0.0,4.232,3.744,118.32,0.0,128.808,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060498714447021,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0058968861897786,0.0,0.0,0.0,0.0,0.0080108642578125,0.0107606252034505,0.0268459320068359,0.0045299530029296,0.0051021575927734,0.496,1.424,0.0,0.0,11.968,12.008,112.0,0.0,21.968,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076532363891601,0.0058257579803466,0.0092983245849609,0.0092983245849609,0.0057220458984375,0.0057220458984375,0.0057697296142578,0.0,0.0,0.0,0.0,0.0077247619628906,0.0106334686279296,0.0205039978027343,0.0,0.0,0.496,1.392,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062131881713867,0.0073909759521484,0.0073909759521484,0.0128746032714843,0.0128746032714843,0.0058412551879882,0.0,0.0,0.0,0.0,0.0077247619628906,0.0107049942016601,0.0250577926635742,0.0,0.0,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061597397078329,0.0095367431640625,0.0095367431640625,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0059569754251619,0.0078678131103515,0.0078678131103515,0.0100135803222656,0.0100135803222656,0.0055313110351562,0.0,0.0,0.0,0.0,0.0070095062255859,0.009918212890625,0.0186920166015625,0.0055858067103794,0.0072956085205078,0.496,1.36,0.0,0.0,4.232,3.744,129.256,0.0,29.672,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0060873838206428,0.0066757202148437,0.0066757202148437,0.0112056732177734,0.0112056732177734,0.0066757202148437,0.0,0.0,0.0,0.0,0.0085830688476562,0.0111103057861328,0.0220775604248046,0.0054836273193359,0.0054836273193359,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0059008598327636,0.0085830688476562,0.0085830688476562,0.0109672546386718,0.0109672546386718,0.0064849853515625,0.0,0.0,0.0,0.0,0.009918212890625,0.0109354654947916,0.0285148620605468,0.0,0.0,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061368942260742,0.0073909759521484,0.0073909759521484,0.0126361846923828,0.0126361846923828,0.0058412551879882,0.0,0.0,0.0,0.0,0.0063657760620117,0.01068909962972,0.0191926956176757,0.0,0.0,0.496,1.36,0.0,0.0,3.704,4.272,112.0,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078916549682617,0.0060737133026123,0.0073909759521484,0.0073909759521484,0.0095367431640625,0.0095367431640625,0.0056982040405273,0.0,0.0,0.0,0.0,0.0081300735473632,0.0103235244750976,0.0246524810791015,0.0,0.0,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083684921264648,0.0063824653625488,0.0073909759521484,0.0073909759521484,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0059438582083479,0.0131130218505859,0.0131130218505859,0.0054836273193359,0.0054836273193359,0.0068187713623046,0.0,0.0,0.0,0.0,0.0089168548583984,0.01068115234375,0.020599365234375,0.0090599060058593,0.0090599060058593,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0059391135600075,0.0066757202148437,0.0066757202148437,0.0081062316894531,0.0081062316894531,0.0069618225097656,0.0,0.0,0.0,0.0,0.0085830688476562,0.0119686126708984,0.0235557556152343,0.0045299530029296,0.0045299530029296,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0057754231922662,0.0069141387939453,0.0069141387939453,0.0085830688476562,0.0085830688476562,0.006103515625,0.0,0.0,0.0,0.0,0.0081062316894531,0.0111103057861328,0.0281810760498046,0.0081062316894531,0.0081062316894531,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,1.192,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062154893258317,0.0060796737670898,0.0061750411987304,0.0085830688476562,0.01068115234375,0.006103515625,0.0,0.0,0.0,0.0,0.0078678131103515,0.0110626220703125,0.0217914581298828,0.0047286351521809,0.0065565109252929,1.344,2.208,0.0,0.0,4.232,3.744,117.192,0.0,63.664,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062154893258317,0.0071525573730468,0.0071525573730468,0.0145435333251953,0.0145435333251953,0.0062465667724609,0.0,0.0,0.0,0.0,0.0089883804321289,0.0103712081909179,0.0261783599853515,0.0047286351521809,0.0065565109252929,0.496,1.424,0.0,0.0,7.736,8.264,117.192,0.0,63.664,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062154893258317,0.0066757202148437,0.0066757202148437,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047286351521809,0.0065565109252929,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,63.664,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062154893258317,0.0083446502685546,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0066757202148437,0.0,0.0,0.0,0.0,0.008249282836914,0.012063980102539,0.0252723693847656,0.0047286351521809,0.0065565109252929,0.496,1.36,0.0,0.0,4.232,3.744,117.192,0.0,63.664,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0059865600434108,0.0073909759521484,0.0073909759521484,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.0,0.0,0.0,0.0,0.0089168548583984,0.0109672546386718,0.0206470489501953,0.0095367431640625,0.0095367431640625,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060541712822605,0.0071525573730468,0.0071525573730468,0.0100135803222656,0.0100135803222656,0.0059286753336588,0.0,0.0,0.0,0.0,0.0081062316894531,0.0107288360595703,0.0277042388916015,0.0085830688476562,0.0085830688476562,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,1.192,0
