time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065102160555645,0.0088214874267578,0.00762939453125,0.00762939453125,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.006028584071568,0.0147819519042968,0.0147819519042968,0.0083446502685546,0.0094481876918247,0.0193119049072265,0.0043002570547708,0.0052452087402343,0.496,1.36,1.696,1.696,27.344,25.152,131.04,0.0,1218.832,0
1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065167744954427,0.0085830688476562,0.0121593475341796,0.0121593475341796,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.0062227249145507,0.0126361846923828,0.0126361846923828,0.0088930130004882,0.0113725662231445,0.0272750854492187,0.0040559207691865,0.0050306320190429,0.496,1.424,1.696,1.696,7.736,8.264,117.192,0.0,1706.72,0
2,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061786174774169,0.0083446502685546,0.00762939453125,0.00762939453125,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.0057220458984375,0.0095367431640625,0.0095367431640625,0.0072956085205078,0.0120162963867187,0.0233173370361328,0.0059008598327636,0.00762939453125,0.496,1.424,1.696,1.696,4.232,3.744,112.0,0.0,32.352,0
3,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060363788509843,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.0059366226196289,0.0083446502685546,0.0083446502685546,0.008392333984375,0.0102043151855468,0.0245094299316406,0.0061988830566406,0.0061988830566406,0.496,1.392,1.696,1.696,7.736,8.264,113.256,0.0,1.192,0
4,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061644843561732,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0047683715820312,0.0047683715820312,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,1.192,0
5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060992454414937,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.0070571899414062,0.011444091796875,0.011444091796875,0.0098705291748046,0.0116825103759765,0.0214099884033203,0.0047683715820312,0.0047683715820312,0.496,1.36,1.696,1.696,4.232,3.744,113.256,0.0,1.192,0
6,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060987472534179,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.0056743621826171,0.0081062316894531,0.0081062316894531,0.0073909759521484,0.0113487243652343,0.0229835510253906,0.0,0.0,0.496,1.36,1.696,1.696,4.232,3.744,112.0,0.0,0.0,0
7,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058543682098388,0.0078678131103515,0.0100135803222656,0.0100135803222656,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.0060558319091796,0.0071525573730468,0.0071525573730468,0.0078678131103515,0.0106652577718098,0.0277042388916015,0.0,0.0,0.496,1.36,1.696,1.696,11.968,12.008,112.0,0.0,0.0,0
8,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061345100402832,0.0083446502685546,0.009775161743164,0.009775161743164,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.005960464477539,0.0088214874267578,0.0088214874267578,0.007486343383789,0.0114917755126953,0.021982192993164,0.0071525573730468,0.0088691711425781,0.496,1.36,1.696,1.696,4.232,3.744,112.0,0.0,30.328,0
9,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062451433779588,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0057220458984375,0.0077486038208007,0.006866455078125,0.0086069107055664,0.0064611434936523,0.0090599060058593,0.0090599060058593,0.0086069107055664,0.0119924545288085,0.0289678573608398,0.0,0.0,0.496,1.36,1.696,1.696,7.736,8.264,117.192,0.0,0.0,0
10,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058133803789888,0.0073909759521484,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.496,1.424,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
11,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059864308574412,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0064849853515625,0.0088214874267578,0.0088214874267578,0.0084400177001953,0.012969970703125,0.0251293182373046,0.0047981739044189,0.0064611434936523,0.496,1.36,0.0,0.0,4.232,3.744,118.448,0.0,71.36,0
12,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061056401469919,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0060558319091796,0.0128746032714843,0.0128746032714843,0.0075340270996093,0.0142097473144531,0.0295639038085937,0.0066757202148437,0.0066757202148437,0.496,1.424,0.0,0.0,4.232,3.744,118.448,0.0,1.192,0
13,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066953955344783,0.0092983245849609,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0061511993408203,0.0112056732177734,0.0112056732177734,0.008392333984375,0.0110149383544921,0.026702880859375,0.0040483633149105,0.0047683715820312,0.496,1.424,0.0,0.0,11.968,12.008,143.152,0.0,8486.52,0
14,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069781915465397,0.0092983245849609,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.0058650970458984,0.0197887420654296,0.0197887420654296,0.0073909759521484,0.0138759613037109,0.0256538391113281,0.0040708747628616,0.0047683715820312,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0,9519.52,0
15,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072260994223219,0.009775161743164,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.006103515625,0.0119209289550781,0.0119209289550781,0.0077486038208007,0.0104665756225585,0.0250816345214843,0.0040683916498758,0.0045299530029296,0.496,1.424,0.0,0.0,7.736,8.264,117.192,0.0,10279.48,0
16,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072391472052578,0.009775161743164,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0040166454228092,0.0045299530029296,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,11070.528,0
17,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071478362130646,0.0095367431640625,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0061988830566406,0.0112056732177734,0.0112056732177734,0.0077247619628906,0.011444091796875,0.0218391418457031,0.0040508902337197,0.0047683715820312,0.496,1.424,0.0,0.0,4.232,3.744,118.448,0.0,7298.744,0
18,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068386002342299,0.0097513198852539,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0059127807617187,0.0157356262207031,0.0157356262207031,0.0075817108154296,0.0108718872070312,0.0206947326660156,0.0040533657593797,0.0047683715820312,0.496,1.424,0.0,0.0,4.232,3.744,118.448,0.0,8382.816,0
19,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067146697846969,0.0092983245849609,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0061829884847005,0.0121593475341796,0.0121593475341796,0.0087261199951171,0.0111579895019531,0.0256538391113281,0.0042101027260363,0.0050067901611328,0.496,1.424,0.0,0.0,11.968,12.008,118.448,0.0,1930.816,0
20,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071134140242391,0.0095367431640625,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0069141387939453,0.0119209289550781,0.0119209289550781,0.009918212890625,0.0107765197753906,0.0205039978027343,0.0041196455104717,0.0047683715820312,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0,7709.824,0
21,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071110417000689,0.0092983245849609,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0058412551879882,0.0112056732177734,0.0112056732177734,0.007796287536621,0.0108957290649414,0.0269889831542968,0.0041064119687045,0.0047683715820312,0.496,1.424,0.0,0.0,7.736,8.264,117.192,0.0,8933.792,0
22,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068417829067552,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.004100123994325,0.0045299530029296,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,6244.232,0
23,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007298455309512,0.0095367431640625,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.006866455078125,0.0150203704833984,0.0150203704833984,0.0085353851318359,0.0110149383544921,0.0208854675292968,0.0040238650389286,0.0045299530029296,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0,12869.52,0
24,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063712053959912,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0064849853515625,0.0131130218505859,0.0131130218505859,0.0084877014160156,0.0112056732177734,0.0217437744140625,0.0042407239069704,0.0047683715820312,0.496,1.424,0.0,0.0,4.232,3.744,116.928,0.0,1166.688,0
25,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060880184173583,0.0078916549682617,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0063419342041015,0.0126361846923828,0.0126361846923828,0.0085830688476562,0.0120480855305989,0.0271320343017578,0.004887580871582,0.0049829483032226,0.496,1.424,0.0,0.0,11.968,12.008,112.696,0.0,4.576,0
26,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006176345977024,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0069618225097656,0.0083446502685546,0.0083446502685546,0.0100612640380859,0.0116825103759765,0.0224590301513671,0.0073909759521484,0.0073909759521484,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
27,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006176345977024,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0063419342041015,0.0083446502685546,0.0083446502685546,0.0082015991210937,0.0105142593383789,0.0265121459960937,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,0.0,7.736,8.264,113.256,0.0,1.192,0
28,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006176345977024,0.0081062316894531,0.0063657760620117,0.0060796737670898,0.0,0.0,0.0,0.0,0.0,0.0096797943115234,0.0083446502685546,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,1.344,2.208,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
29,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006176345977024,0.0081062316894531,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0062465667724609,0.0140666961669921,0.0140666961669921,0.0078678131103515,0.0116348266601562,0.0213623046875,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
30,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006176345977024,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0058650970458984,0.0083446502685546,0.0083446502685546,0.0074386596679687,0.011444091796875,0.0222206115722656,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
31,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060850114964727,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0061353047688802,0.0088214874267578,0.0088214874267578,0.0086784362792968,0.0111103057861328,0.0272274017333984,0.0081062316894531,0.0081062316894531,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,1.192,0
32,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059687676121346,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0062942504882812,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0110626220703125,0.021219253540039,0.0045299530029296,0.0045299530029296,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
33,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058501514036263,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0069618225097656,0.0123977661132812,0.0123977661132812,0.0088453292846679,0.0113248825073242,0.027322769165039,0.0057220458984375,0.0057220458984375,0.496,1.36,0.0,0.0,7.736,8.264,113.256,0.0,1.192,0
34,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060200691223144,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
35,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060212612152099,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.006866455078125,0.0083446502685546,0.0083446502685546,0.009918212890625,0.0115871429443359,0.0227928161621093,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
36,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058603286743164,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0064373016357421,0.0092983245849609,0.0092983245849609,0.0080585479736328,0.0121593475341796,0.0243663787841796,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062084197998046,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0059445699055989,0.0095367431640625,0.0095367431640625,0.0079154968261718,0.0102043151855468,0.025033950805664,0.0,0.0,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0
38,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062522603504693,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0071048736572265,0.0100135803222656,0.0100135803222656,0.0096797943115234,0.01068115234375,0.0200271606445312,0.0081062316894531,0.0081062316894531,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
39,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063290342616574,0.0091552734375,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0058650970458984,0.0123977661132812,0.0123977661132812,0.0081062316894531,0.0107288360595703,0.0260591506958007,0.0041868628525152,0.0050067901611328,0.496,1.36,0.0,0.0,7.736,8.264,140.184,0.0,1151.0,0
40,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063051091562403,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0058710575103759,0.0072002410888671,0.496,1.424,0.0,0.0,0.0,0.0,115.632,0.0,38.544,0
