time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062949449113271,0.0088214874267578,0.013589859008789,0.013589859008789,0.0164508819580078,0.0164508819580078,0.0083446502685546,0.0062056950160435,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0087261199951171,0.0097138541085379,0.0195503234863281,0.0040562529312936,0.0045299530029296,0.496,1.36,0.848,0.848,27.344,25.152,143.152,0.0,1587.904,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064575672149658,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0083446502685546,0.0062056950160435,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0087261199951171,0.0097138541085379,0.0195503234863281,0.004045298842133,0.0047683715820312,0.496,1.424,0.848,0.848,27.344,25.152,112.0,0.0,1940.248,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063443183898925,0.0086069107055664,0.0071525573730468,0.0071525573730468,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.496,1.392,0.848,0.848,0.0,0.0,112.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060838253343876,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0081062316894531,0.0081062316894531,0.0083446502685546,0.0069618225097656,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0107526779174804,0.0120162963867187,0.0306367874145507,0.0050067901611328,0.0050067901611328,0.496,1.36,0.848,0.848,7.736,8.264,113.256,0.0,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060814530102174,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0107288360595703,0.0107288360595703,0.0083446502685546,0.0060558319091796,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.007939338684082,0.0108003616333007,0.0251054763793945,0.00762939453125,0.00762939453125,0.496,1.36,0.848,0.848,7.736,8.264,113.256,0.0,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060209587438782,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0,0.0,0.0,0.0050067901611328,0.0050067901611328,0.496,1.36,0.848,0.848,0.0,0.0,113.256,0.0,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060975551605224,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0133514404296875,0.0133514404296875,0.0083446502685546,0.0,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,112.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060760974884033,0.0078678131103515,0.0107288360595703,0.0107288360595703,0.00762939453125,0.00762939453125,0.0083446502685546,0.0058650970458984,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.007486343383789,0.0110626220703125,0.0206947326660156,0.0,0.0,0.496,1.36,0.848,0.848,4.232,3.744,112.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060808658599853,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0062465667724609,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0081062316894531,0.0104665756225585,0.0277042388916015,0.0,0.0,0.496,1.36,0.848,0.848,8.464,7.488,112.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060951709747314,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0107288360595703,0.0107288360595703,0.0083446502685546,0.0063419342041015,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0085353851318359,0.0110785166422526,0.0283241271972656,0.0,0.0,0.496,1.36,0.848,0.848,11.968,12.008,112.0,0.0,0.0,0
