time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064868738155553,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0109672546386718,0.0109672546386718,0.0065803527832031,0.0128746032714843,0.0100612640380859,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0120503561837332,0.0269889831542968,0.0070730845133463,0.0079631805419921,0.496,1.36,1.696,1.696,25.152,27.344,118.896,0.0,8.424,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067844110376694,0.0090599060058593,0.0069141387939453,0.0069141387939453,0.0123977661132812,0.0123977661132812,0.0065803527832031,0.0128746032714843,0.0100612640380859,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0120503561837332,0.0269889831542968,0.0043755485897972,0.0054836273193359,0.496,1.424,1.696,1.696,25.152,27.344,125.776,0.0,794.984,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063983520658889,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0104904174804687,0.0104904174804687,0.0,0.0128746032714843,0.0,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0,0.0,0.0047491442772649,0.0057220458984375,0.496,1.424,1.696,1.696,0.0,0.0,119.584,0.0,423.76,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060855752170676,0.0083208084106445,0.0085830688476562,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0073909759521484,0.0128746032714843,0.0107765197753906,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0129222869873046,0.0243186950683593,0.0044037314022288,0.0050067901611328,0.496,1.424,1.696,1.696,4.52,3.504,118.448,0.0,370.616,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059569059912838,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0140666961669921,0.0140666961669921,0.0066757202148437,0.0128746032714843,0.008392333984375,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0115871429443359,0.0214576721191406,0.0066757202148437,0.0080108642578125,0.496,1.424,1.696,1.696,3.744,4.232,113.256,0.0,10.72,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063938460326547,0.0087738037109375,0.0081062316894531,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0064849853515625,0.0128746032714843,0.0088453292846679,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0119447708129882,0.0290870666503906,0.0044652393886021,0.0052452087402343,0.496,1.424,1.696,1.696,8.264,7.736,123.64,0.0,531.088,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108283996582,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0078678131103515,0.0078678131103515,0.0,0.0128746032714843,0.0,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0,0.0,0.0041467802865164,0.0047683715820312,0.496,1.424,1.696,1.696,0.0,0.0,112.0,0.0,402.304,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061858352737047,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0088214874267578,0.0088214874267578,0.0064373016357421,0.0128746032714843,0.00762939453125,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0112533569335937,0.0210762023925781,0.0053048133850097,0.0074386596679687,0.496,1.392,1.696,1.696,3.744,4.232,117.192,0.0,54.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059151649475097,0.0078916549682617,0.0081062316894531,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0060081481933593,0.0128746032714843,0.007486343383789,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0118732452392578,0.0235557556152343,0.0,0.0,0.496,1.424,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063315988174212,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.0121593475341796,0.0121593475341796,0.0059763590494791,0.0128746032714843,0.0086307525634765,0.0152587890625,0.0140190124511718,0.0186920166015625,0.0108242034912109,0.0272750854492187,0.0046955214606391,0.0056028366088867,0.496,1.36,1.696,1.696,12.008,11.968,127.576,0.0,269.776,0
