time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066641464974116,0.0091791152954101,0.0071525573730468,0.0071525573730468,0.0083446502685546,0.0083446502685546,0.0059740883963448,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.0078678131103515,0.0103405543736049,0.0215530395507812,0.0038589600795984,0.0045299530029296,0.496,1.36,1.696,1.696,27.344,25.152,143.152,0.0,20442.752,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073577634137661,0.009775161743164,0.009775161743164,0.009775161743164,0.0188350677490234,0.0188350677490234,0.0,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.0,0.0,0.0,0.0038985852841977,0.0045299530029296,0.496,1.424,1.696,1.696,0.0,0.0,117.192,0.0,11597.504,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061142444610595,0.0081062316894531,0.00762939453125,0.00762939453125,0.0057220458984375,0.0057220458984375,0.0,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.0,0.0,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060826391723025,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0081062316894531,0.0081062316894531,0.00762939453125,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.009918212890625,0.0125408172607421,0.0236988067626953,0.0085830688476562,0.0085830688476562,0.496,1.36,1.696,1.696,3.504,4.52,113.256,0.0,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061111070623445,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.009775161743164,0.009775161743164,0.0057935714721679,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.0075817108154296,0.0112533569335937,0.0277042388916015,0.0050067901611328,0.0050067901611328,0.496,1.36,1.696,1.696,7.736,8.264,113.256,0.0,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062401932064849,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0109672546386718,0.0109672546386718,0.0,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.0,0.0,0.0,0.0065167744954427,0.0082015991210937,0.496,1.36,1.696,1.696,0.0,0.0,118.448,0.0,16.552,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059831142425537,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.0,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.0,0.0,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061392784118652,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0112056732177734,0.0112056732177734,0.0060081481933593,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.0072479248046875,0.0107288360595703,0.0202655792236328,0.0,0.0,0.496,1.36,1.696,1.696,4.232,3.744,112.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072127407036938,0.0098943710327148,0.0092983245849609,0.0092983245849609,0.0147819519042968,0.0147819519042968,0.0067472457885742,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.0089168548583984,0.0105857849121093,0.0260114669799804,0.0038555438340248,0.0045299530029296,0.496,1.392,1.696,1.696,8.464,7.488,143.152,0.0,27375.28,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006411075592041,0.0088214874267578,0.009775161743164,0.009775161743164,0.0152587890625,0.0152587890625,0.0063419342041015,0.0127553939819335,0.0126361846923828,0.0126361846923828,0.0138044357299804,0.0084877014160156,0.0110308329264322,0.0266551971435546,0.0,0.0,0.496,1.424,1.696,1.696,11.968,12.008,112.0,0.0,0.0,0
