time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_packet_loss_ul_percentage,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_packet_loss_dl_percentage,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0069291119414251,0.0090599060058593,0.0066757202148437,0.0066757202148437,0.0085830688476562,0.0085830688476562,0.0039123826556735,0.0047683715820312,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.36,0.0,1.696,1.696,25.152,27.344,142.712,0.0060422079903738,0.0,0.0078678131103515,16534.32,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.007975753860094,0.0102519989013671,0.0116825103759765,0.0116825103759765,0.0138282775878906,0.0138282775878906,0.0039235360657316,0.0045299530029296,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.424,0.0,1.696,1.696,25.152,27.344,117.888,0.0060422079903738,0.0,0.0078678131103515,26405.792,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0067267251845022,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0088214874267578,0.0088214874267578,0.0064373016357421,0.0064373016357421,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.424,0.0,1.696,1.696,25.152,27.344,113.256,0.0060422079903738,0.0,0.0078678131103515,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006608108975994,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.36,0.0,1.696,1.696,25.152,27.344,112.56,0.0060422079903738,0.0,0.0078678131103515,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0064420700073242,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.009775161743164,0.009775161743164,0.0,0.0,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.36,0.0,1.696,1.696,25.152,27.344,112.0,0.0060422079903738,0.0,0.0078678131103515,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0073040647459734,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0112056732177734,0.0112056732177734,0.0038585443606321,0.0045299530029296,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.36,0.0,1.696,1.696,25.152,27.344,129.584,0.0060422079903738,0.0,0.0078678131103515,16969.512,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066911403219498,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.424,0.0,1.696,1.696,25.152,27.344,112.56,0.0060422079903738,0.0,0.0078678131103515,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065440562233996,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0092983245849609,0.0092983245849609,0.0073909759521484,0.0073909759521484,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.36,0.0,1.696,1.696,25.152,27.344,113.256,0.0060422079903738,0.0,0.0078678131103515,1.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066211567589299,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0061988830566406,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.36,0.0,1.696,1.696,25.152,27.344,113.256,0.0060422079903738,0.0,0.0078678131103515,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066523458443435,0.0088214874267578,0.0061988830566406,0.0061988830566406,0.0123977661132812,0.0123977661132812,0.0044593104609736,0.0059127807617187,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.36,0.0,1.696,1.696,25.152,27.344,128.832,0.0060422079903738,0.0,0.0078678131103515,250.184,0
