time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058174133300781,0.0076532363891601,0.0071525573730468,0.0071525573730468,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059869554307725,0.0082015991210937,0.0064373016357421,0.0064373016357421,0.0047792087901722,0.0133514404296875,0.0133514404296875,0.0063896179199218,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,141.56,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,355.2,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063062894462358,0.008559226989746,0.00762939453125,0.00762939453125,0.0042915344238281,0.0164508819580078,0.0164508819580078,0.0054836273193359,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,118.448,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,918.92,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059118318320506,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0046094258626302,0.011444091796875,0.011444091796875,0.0056028366088867,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,113.256,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,38.352,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058150291442871,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0061988830566406,0.0078678131103515,0.0078678131103515,0.0061988830566406,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,2.6,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062411641839689,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0040531158447265,0.0131130218505859,0.0131130218505859,0.0048398971557617,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,122.408,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,2313.84,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060956869552384,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0044366587763247,0.0085830688476562,0.0085830688476562,0.0052452087402343,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,114.6,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,487.08,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064918650916559,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0040818409747387,0.0143051147460937,0.0143051147460937,0.0049114227294921,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,117.192,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,3992.776,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059899717274278,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0044164203462146,0.0078678131103515,0.0078678131103515,0.0052452087402343,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,115.776,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,332.624,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059758082474812,0.0078678131103515,0.0054836273193359,0.0054836273193359,0.0060796737670898,0.0073909759521484,0.0073909759521484,0.0067472457885742,0.0113248825073242,0.0109672546386718,0.0134468078613281,0.0140905380249023,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,115.648,0.0098364693777901,0.0186443328857421,0.0,0.0066825321742466,0.0093460083007812,3.296,0
