time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065363547652239,0.0086784362792968,0.0085830688476562,0.0085830688476562,0.0075101852416992,0.0038898326981235,0.0083446502685546,0.0083684921264648,0.0045299530029296,0.0123977661132812,0.0123977661132812,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.36,0.0,0.0,1.696,1.696,25.152,144.408,27.344,0.0,0.0073092324393136,0.0112056732177734,19151.968,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069247614039052,0.0095367431640625,0.00762939453125,0.00762939453125,0.0075101852416992,0.0038893044400377,0.0083446502685546,0.0083684921264648,0.0045299530029296,0.0104904174804687,0.0104904174804687,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.424,0.0,0.0,1.696,1.696,25.152,118.448,27.344,0.0,0.0073092324393136,0.0112056732177734,9774.416,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0056686686046087,0.00762939453125,0.0095367431640625,0.0095367431640625,0.0075101852416992,0.0042915344238281,0.0083446502685546,0.0083684921264648,0.0042915344238281,0.0109672546386718,0.0109672546386718,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.424,0.0,0.0,1.696,1.696,25.152,113.256,27.344,0.0,0.0073092324393136,0.0112056732177734,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059306621551513,0.0078678131103515,0.00762939453125,0.00762939453125,0.0075101852416992,0.0,0.0083446502685546,0.0083684921264648,0.0,0.0066757202148437,0.0066757202148437,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.36,0.0,0.0,1.696,1.696,25.152,112.0,27.344,0.0,0.0073092324393136,0.0112056732177734,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059923323074189,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0075101852416992,0.0050067901611328,0.0083446502685546,0.0083684921264648,0.0083446502685546,0.005960464477539,0.005960464477539,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.36,0.0,0.0,1.696,1.696,25.152,122.384,27.344,0.0,0.0073092324393136,0.0112056732177734,125.432,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060248374938964,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0075101852416992,0.0,0.0083446502685546,0.0083684921264648,0.0,0.0100135803222656,0.0100135803222656,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.424,0.0,0.0,1.696,1.696,25.152,112.0,27.344,0.0,0.0073092324393136,0.0112056732177734,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061094760894775,0.0081062316894531,0.00762939453125,0.00762939453125,0.0075101852416992,0.0,0.0083446502685546,0.0083684921264648,0.0,0.0147819519042968,0.0147819519042968,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.36,0.0,0.0,1.696,1.696,25.152,112.0,27.344,0.0,0.0073092324393136,0.0112056732177734,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062000575323997,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0075101852416992,0.0071525573730468,0.0083446502685546,0.0083684921264648,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.36,0.0,0.0,1.696,1.696,25.152,119.32,27.344,0.0,0.0073092324393136,0.0112056732177734,6.68,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059474166946031,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0075101852416992,0.0073909759521484,0.0083446502685546,0.0083684921264648,0.0073909759521484,0.0107288360595703,0.0107288360595703,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.424,0.0,0.0,1.696,1.696,25.152,113.256,27.344,0.0,0.0073092324393136,0.0112056732177734,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060921284689832,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0075101852416992,0.0047683715820312,0.0083446502685546,0.0083684921264648,0.0047683715820312,0.0069141387939453,0.0069141387939453,0.0108242034912109,0.0092847006661551,0.0184059143066406,0.496,1.36,0.0,0.0,1.696,1.696,25.152,113.256,27.344,0.0,0.0073092324393136,0.0112056732177734,1.192,0
