time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_packet_loss_dl_percentage,a1_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060268895543036,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0088214874267578,0.0121593475341796,0.0088214874267578,0.0121593475341796,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,113.256,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,1.192,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0072124499629661,0.0095367431640625,0.0069141387939453,0.0069141387939453,0.0039163114722639,0.0121593475341796,0.0045299530029296,0.0121593475341796,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,144.408,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,26215.168,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062095056666005,0.0083208084106445,0.0092983245849609,0.0092983245849609,0.00393617720831,0.0088214874267578,0.0047683715820312,0.0088214874267578,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,118.448,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,2403.84,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059342384338378,0.0076532363891601,0.0078678131103515,0.0078678131103515,0.0,0.00762939453125,0.0,0.00762939453125,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060296058654785,0.0078916549682617,0.0092983245849609,0.0092983245849609,0.0,0.011444091796875,0.0,0.011444091796875,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0067226992452085,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0038942845982959,0.0109672546386718,0.0045299530029296,0.0109672546386718,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,127.576,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,31432.984,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0071003662413032,0.0095367431640625,0.0143051147460937,0.0143051147460937,0.0038983806079586,0.0164508819580078,0.0045299530029296,0.0164508819580078,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,117.192,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,8489.336,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062143802642822,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0,0.00762939453125,0.0,0.00762939453125,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059794430709003,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0047683715820312,0.0123977661132812,0.0047683715820312,0.0123977661132812,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.392,0.0,0.0,1.696,1.696,25.152,27.344,113.256,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060282501519895,0.0082731246948242,0.00762939453125,0.00762939453125,0.0046406473432268,0.0121593475341796,0.0081777572631835,0.0121593475341796,0.0081062316894531,0.0115633010864257,0.0102043151855468,0.0164270401000976,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,128.832,0.0088351113455636,0.0,0.0164985656738281,0.0064917973109654,0.0086307525634765,311.264,0
