time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_dl_ms,f1_u_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0109672546386718,0.0212430953979492,0.0,0.0,0.0,0.0,1.696,1.696,29.672,30.848,0.0,2.92,0.0071108341217041,0.0105142593383789,0.936,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0109672546386718,0.0212430953979492,0.0,0.0,0.0,0.0,1.696,1.696,29.672,30.848,0.0,2.92,0.0071108341217041,0.0105142593383789,0.936,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0109672546386718,0.0212430953979492,0.0,0.0,0.0,0.0,1.696,1.696,29.672,30.848,0.0,2.92,0.0071108341217041,0.0105142593383789,0.936,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0109672546386718,0.0212430953979492,0.0,0.0,0.0,0.0,1.696,1.696,29.672,30.848,0.0,2.92,0.0071108341217041,0.0105142593383789,0.936,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0109672546386718,0.0212430953979492,0.0,0.0,0.0,0.0,1.696,1.696,29.672,30.848,0.0,2.92,0.0071108341217041,0.0105142593383789,0.936,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0109672546386718,0.0212430953979492,0.0,0.0,0.0,0.0,1.696,1.696,29.672,30.848,0.0,2.92,0.0071108341217041,0.0105142593383789,0.936,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0109672546386718,0.0212430953979492,0.0,0.0,0.0,0.0,1.696,1.696,29.672,30.848,0.0,2.92,0.0071108341217041,0.0105142593383789,0.936,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0109672546386718,0.0212430953979492,0.0,0.0,0.0,0.0,1.696,1.696,29.672,30.848,0.0,2.92,0.0071108341217041,0.0105142593383789,0.936,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0109672546386718,0.0212430953979492,0.0,0.0,0.0,0.0,1.696,1.696,29.672,30.848,0.0,2.92,0.0071108341217041,0.0105142593383789,0.936,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0145912170410156,0.0069141387939453,0.0,0.0,0.0,0.0,0.0185966491699218,0.0194311141967773,0.0225782394409179,0.0263690948486328,0.0235557556152343,0.0,0.0,0.0,0.0,0.0,0.0,1.696,1.696,0.0,0.0,0.0,2.92,0.0,0.0,0.936,0
