time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060212612152099,0.0083446502685546,0.0,0.0,0.0,0.0120401382446289,0.0127553939819335,0.0151872634887695,0.0172376632690429,0.0,0.0,0.0,0,0.496,1.696,1.696,1.36,0.0,0.0,112.0,0.0,0.0104904174804687,0.0104904174804687,0.0085830688476562,0.0085830688476562,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062668381105874,0.0083446502685546,0.0056136738170276,0.0068902969360351,0.0,0.0120401382446289,0.0127553939819335,0.0151872634887695,0.0172376632690429,0.0,0.0,0.0,0,0.496,1.696,1.696,1.36,0.0,0.0,127.8,0.0,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0078678131103515,44.688,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062779624863426,0.0085830688476562,0.0051351693960336,0.0064373016357421,0.0,0.0120401382446289,0.0127553939819335,0.0151872634887695,0.0172376632690429,0.0,0.0,0.0,0,0.496,1.696,1.696,1.36,0.0,0.0,115.536,0.0,0.0123977661132812,0.0123977661132812,0.0092983245849609,0.0092983245849609,53.84,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006231931176516,0.0083446502685546,0.0050862630208333,0.0062465667724609,0.0066280364990234,0.0120401382446289,0.0127553939819335,0.0151872634887695,0.0172376632690429,0.0085830688476562,0.01220703125,0.0226974487304687,0,0.496,1.696,1.696,1.36,3.504,4.52,115.584,0.0,0.0066757202148437,0.0066757202148437,0.0078678131103515,0.0078678131103515,19.256,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063293608859996,0.0085830688476562,0.0060399373372395,0.0073909759521484,0.0,0.0120401382446289,0.0127553939819335,0.0151872634887695,0.0172376632690429,0.0,0.0,0.0,0,0.496,1.696,1.696,1.36,0.0,0.0,114.328,0.0,0.0069141387939453,0.0069141387939453,0.0073909759521484,0.0073909759521484,12.896,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062297232708527,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0120401382446289,0.0127553939819335,0.0151872634887695,0.0172376632690429,0.0,0.0,0.0,0,0.496,1.696,1.696,1.36,0.0,0.0,114.392,0.0,0.0119209289550781,0.0119209289550781,0.0071525573730468,0.0071525573730468,2.104,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062831005646814,0.0085830688476562,0.0057220458984375,0.0075101852416992,0.0,0.0120401382446289,0.0127553939819335,0.0151872634887695,0.0172376632690429,0.0,0.0,0.0,0,0.496,1.696,1.696,1.36,0.0,0.0,114.424,0.0,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0061988830566406,13.104,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064883066054007,0.0090599060058593,0.0049114227294921,0.0058650970458984,0.0067710876464843,0.0120401382446289,0.0127553939819335,0.0151872634887695,0.0172376632690429,0.0089168548583984,0.0117301940917968,0.0214099884033203,0,0.496,1.696,1.696,1.36,4.232,3.744,115.384,0.0,0.0102519989013671,0.0102519989013671,0.0090599060058593,0.0090599060058593,38.712,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062331114665116,0.008559226989746,0.004876743663441,0.0054836273193359,0.0059127807617187,0.0120401382446289,0.0127553939819335,0.0151872634887695,0.0172376632690429,0.0075340270996093,0.0103950500488281,0.0187873840332031,0,0.496,1.696,1.696,1.36,4.232,3.744,116.064,0.0,0.009775161743164,0.009775161743164,0.0071525573730468,0.0071525573730468,34.664,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006084394927072,0.0083446502685546,0.00762939453125,0.0078201293945312,0.0061750411987304,0.0,0.0,0.0,0.0,0.0085830688476562,0.0101089477539062,0.0236034393310546,0,0.496,0.0,0.0,1.36,7.736,8.264,117.504,0.0,0.0157356262207031,0.0157356262207031,0.0078678131103515,0.0078678131103515,5.152,0
