time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065738715014411,0.0090599060058593,0.0041303604934074,0.0050067901611328,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.36,143.152,25.152,27.344,0.0,0.009775161743164,0.009775161743164,0.0073909759521484,0.0073909759521484,3228.008,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066261480350305,0.0090360641479492,0.0040942514446419,0.0050067901611328,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.424,118.448,25.152,27.344,0.0,0.00762939453125,0.00762939453125,0.0066757202148437,0.0066757202148437,2628.704,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062956668362759,0.0083446502685546,0.0045191157947887,0.0060558319091796,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.424,118.448,25.152,27.344,0.0,0.0138282775878906,0.0138282775878906,0.0069141387939453,0.0069141387939453,412.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061277133315356,0.0083446502685546,0.004281997680664,0.0059127807617187,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.424,113.256,25.152,27.344,0.0,0.0104904174804687,0.0104904174804687,0.0071525573730468,0.0071525573730468,237.944,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060631497071521,0.0081062316894531,0.0047683715820312,0.0056982040405273,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.424,120.224,25.152,27.344,0.0,0.005960464477539,0.005960464477539,0.0078678131103515,0.0078678131103515,95.312,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062202339741721,0.0085830688476562,0.0042915344238281,0.0056028366088867,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.424,117.192,25.152,27.344,0.0,0.0095367431640625,0.0095367431640625,0.0073909759521484,0.0073909759521484,163.44,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060375650130694,0.0081062316894531,0.0044504801432291,0.005340576171875,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.424,117.192,25.152,27.344,0.0,0.0085830688476562,0.0085830688476562,0.009775161743164,0.009775161743164,33.784,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006188154220581,0.0081062316894531,0.0,0.0,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.424,112.0,25.152,27.344,0.0,0.00762939453125,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059592783154539,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.36,113.256,25.152,27.344,0.0,0.0119209289550781,0.0119209289550781,0.0066757202148437,0.0066757202148437,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062708807463693,0.0085830688476562,0.0050663948059082,0.0059843063354492,0.0064304896763392,0.0092506408691406,0.0134706497192382,0.0153779983520507,0.0156641006469726,0.0096525464739118,0.0227212905883789,0.0211715698242187,0,0.496,1.696,1.696,1.36,120.6,25.152,27.344,0.0,0.0064373016357421,0.0064373016357421,0.0078678131103515,0.0078678131103515,21.536,0
