time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_retransmissions_ul_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062104567740727,0.0083446502685546,0.0038950066817434,0.006239754813058,0.0045299530029296,0.0144243240356445,0.0086307525634765,0.0145435333251953,0.0204324722290039,0.0097274780273437,0.0198841094970703,0.0140666961669921,0.0140666961669921,0.0195026397705078,0.496,0,1.696,1.696,1.36,143.152,25.152,27.344,0.0,0.0069141387939453,6561.376,0.0069141387939453,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.007529756916103,0.0100135803222656,0.0038824692032044,0.006239754813058,0.0045299530029296,0.0144243240356445,0.0086307525634765,0.0145435333251953,0.0204324722290039,0.0097274780273437,0.0198841094970703,0.0133514404296875,0.0133514404296875,0.0195026397705078,0.496,0,1.696,1.696,1.424,117.192,25.152,27.344,0.0,0.0100135803222656,36839.688,0.0100135803222656,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066578388214111,0.0090599060058593,0.0063180923461914,0.006239754813058,0.0077247619628906,0.0144243240356445,0.0086307525634765,0.0145435333251953,0.0204324722290039,0.0097274780273437,0.0198841094970703,0.0154972076416015,0.0154972076416015,0.0195026397705078,0.496,0,1.696,1.696,1.424,112.0,25.152,27.344,0.0,0.0100135803222656,18.576,0.0100135803222656,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062501430511474,0.0081062316894531,0.0,0.006239754813058,0.0,0.0144243240356445,0.0086307525634765,0.0145435333251953,0.0204324722290039,0.0097274780273437,0.0198841094970703,0.0088214874267578,0.0088214874267578,0.0195026397705078,0.496,0,1.696,1.696,1.36,112.0,25.152,27.344,0.0,0.0071525573730468,0.0,0.0071525573730468,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061988830566406,0.0085830688476562,0.0085830688476562,0.006239754813058,0.0085830688476562,0.0144243240356445,0.0086307525634765,0.0145435333251953,0.0204324722290039,0.0097274780273437,0.0198841094970703,0.0116825103759765,0.0116825103759765,0.0195026397705078,0.496,0,1.696,1.696,1.36,113.256,25.152,27.344,0.0,0.0081062316894531,1.192,0.0081062316894531,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060702314471254,0.0083446502685546,0.0051259994506835,0.006239754813058,0.0054121017456054,0.0144243240356445,0.0086307525634765,0.0145435333251953,0.0204324722290039,0.0097274780273437,0.0198841094970703,0.0123977661132812,0.0123977661132812,0.0195026397705078,0.496,0,1.696,1.696,1.36,117.808,25.152,27.344,0.0,0.0069141387939453,5.456,0.0069141387939453,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060968731173235,0.0081062316894531,0.0042915344238281,0.006239754813058,0.0042915344238281,0.0144243240356445,0.0086307525634765,0.0145435333251953,0.0204324722290039,0.0097274780273437,0.0198841094970703,0.0085830688476562,0.0085830688476562,0.0195026397705078,0.496,0,1.696,1.696,1.424,113.256,25.152,27.344,0.0,0.0066757202148437,1.192,0.0066757202148437,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064301490783691,0.0085830688476562,0.0,0.006239754813058,0.0,0.0144243240356445,0.0086307525634765,0.0145435333251953,0.0204324722290039,0.0097274780273437,0.0198841094970703,0.0123977661132812,0.0123977661132812,0.0195026397705078,0.496,0,1.696,1.696,1.36,112.0,25.152,27.344,0.0,0.0071525573730468,0.0,0.0071525573730468,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060927867889404,0.0083446502685546,0.0,0.006239754813058,0.0,0.0144243240356445,0.0086307525634765,0.0145435333251953,0.0204324722290039,0.0097274780273437,0.0198841094970703,0.0159740447998046,0.0159740447998046,0.0195026397705078,0.496,0,1.696,1.696,1.36,112.0,25.152,27.344,0.0,0.0078678131103515,0.0,0.0078678131103515,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00640869140625,0.0088214874267578,0.0,0.006239754813058,0.0,0.0,0.0086307525634765,0.0,0.0,0.0097274780273437,0.0,0.0066757202148437,0.0066757202148437,0.0195026397705078,0.496,0,0.0,0.0,1.36,112.0,25.152,27.344,0.0,0.0066757202148437,0.0,0.0066757202148437,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006270408630371,0.0085830688476562,0.0,0.006239754813058,0.0,0.0,0.0086307525634765,0.0,0.0,0.0097274780273437,0.0,0.0095367431640625,0.0095367431640625,0.0195026397705078,0.496,0,0.0,0.0,1.36,112.0,25.152,27.344,0.0,0.0069141387939453,0.0,0.0069141387939453,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061514365732373,0.0081062316894531,0.0090599060058593,0.006239754813058,0.0090599060058593,0.0,0.0086307525634765,0.0,0.0,0.0097274780273437,0.0,0.0078678131103515,0.0078678131103515,0.0195026397705078,0.496,0,0.0,0.0,1.36,113.256,25.152,27.344,0.0,0.0066757202148437,1.192,0.0066757202148437,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006190579922045,0.0083446502685546,0.0050067901611328,0.006239754813058,0.0050067901611328,0.0,0.0086307525634765,0.0,0.0,0.0097274780273437,0.0,0.0126361846923828,0.0126361846923828,0.0195026397705078,0.496,0,0.0,0.0,1.36,113.256,25.152,27.344,0.0,0.0078678131103515,1.192,0.0078678131103515,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062356540812781,0.0081062316894531,0.0081062316894531,0.006239754813058,0.0081062316894531,0.0,0.0086307525634765,0.0,0.0,0.0097274780273437,0.0,0.0095367431640625,0.0095367431640625,0.0195026397705078,0.496,0,0.0,0.0,1.36,113.256,25.152,27.344,0.0,0.0090599060058593,1.192,0.0090599060058593,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059402997220926,0.0078678131103515,0.0046888987223307,0.006239754813058,0.005960464477539,0.0,0.0086307525634765,0.0,0.0,0.0097274780273437,0.0,0.0131130218505859,0.0131130218505859,0.0195026397705078,0.496,0,0.0,0.0,1.424,117.192,25.152,27.344,0.0,0.0066757202148437,25.0,0.0066757202148437,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006270526077947,0.0082969665527343,0.0064373016357421,0.006239754813058,0.00762939453125,0.0,0.0086307525634765,0.0,0.0,0.0097274780273437,0.0,0.0157356262207031,0.0157356262207031,0.0195026397705078,0.496,0,0.0,0.0,1.424,119.56,25.152,27.344,0.0,0.005960464477539,6.696,0.005960464477539,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064289985011466,0.0085830688476562,0.0081062316894531,0.006239754813058,0.0081062316894531,0.0,0.0086307525634765,0.0,0.0,0.0097274780273437,0.0,0.0073909759521484,0.0073909759521484,0.0195026397705078,0.496,0,0.0,0.0,1.424,114.84,25.152,27.344,0.0,0.0085830688476562,2.552,0.0085830688476562,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006040334701538,0.0081062316894531,0.0,0.006239754813058,0.0,0.0,0.0086307525634765,0.0,0.0,0.0097274780273437,0.0,0.0126361846923828,0.0126361846923828,0.0195026397705078,0.496,0,0.0,0.0,1.36,112.0,25.152,27.344,0.0,0.0071525573730468,0.0,0.0071525573730468,0
