time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006223187863248,0.0085830688476562,0.0043869018554687,0.0052452087402343,0.0119209289550781,0.0122785568237304,0.0063896179199218,0.014662742614746,0.0157356262207031,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,1.696,1.696,1.36,143.152,25.152,27.344,0.0,0.0104904174804687,0.0104904174804687,0.0119209289550781,0.0119209289550781,712.6,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067243528603321,0.0092983245849609,0.0041079323047416,0.0050067901611328,0.0119209289550781,0.0122785568237304,0.0063896179199218,0.014662742614746,0.0157356262207031,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,1.696,1.696,1.36,113.256,25.152,27.344,0.0,0.0092983245849609,0.0092983245849609,0.0085830688476562,0.0085830688476562,3443.448,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060802668481323,0.0081062316894531,0.0054836273193359,0.0054836273193359,0.0119209289550781,0.0122785568237304,0.0063896179199218,0.014662742614746,0.0157356262207031,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,1.696,1.696,1.36,113.256,25.152,27.344,0.0,0.0116825103759765,0.0116825103759765,0.0085830688476562,0.0085830688476562,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006413927265242,0.0085830688476562,0.0042220614603813,0.0052452087402343,0.0119209289550781,0.0122785568237304,0.0063896179199218,0.014662742614746,0.0157356262207031,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,1.696,1.696,1.36,128.832,25.152,27.344,0.0,0.0104904174804687,0.0104904174804687,0.0085830688476562,0.0085830688476562,1448.04,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062012672424316,0.0083446502685546,0.0046177914268092,0.005960464477539,0.0119209289550781,0.0122785568237304,0.0063896179199218,0.014662742614746,0.0157356262207031,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,1.696,1.696,1.36,112.0,25.152,27.344,0.0,0.013589859008789,0.013589859008789,0.0069141387939453,0.0069141387939453,191.832,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065777561452129,0.0085830688476562,0.0042091181248794,0.0050067901611328,0.0119209289550781,0.0122785568237304,0.0063896179199218,0.014662742614746,0.0157356262207031,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,1.696,1.696,1.36,122.384,25.152,27.344,0.0,0.0071525573730468,0.0071525573730468,0.0092983245849609,0.0092983245849609,2365.384,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067663192749023,0.0086069107055664,0.0042224752491918,0.0051498413085937,0.0119209289550781,0.0122785568237304,0.0063896179199218,0.014662742614746,0.0157356262207031,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,1.696,1.696,1.36,116.632,25.152,27.344,0.0,0.0152587890625,0.0152587890625,0.0088214874267578,0.0088214874267578,1362.984,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064420462840825,0.0088214874267578,0.0042336658366675,0.0050067901611328,0.0119209289550781,0.0122785568237304,0.0063896179199218,0.014662742614746,0.0157356262207031,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,1.696,1.696,1.36,117.192,25.152,27.344,0.0,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0073909759521484,989.016,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061455057628119,0.00762939453125,0.0042269627253214,0.0057220458984375,0.0,0.0,0.0063896179199218,0.0,0.0,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,0.0,0.0,1.36,113.256,25.152,27.344,0.0,0.0069141387939453,0.0069141387939453,0.0078678131103515,0.0078678131103515,459.328,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064349526842239,0.0088214874267578,0.0045299530029296,0.0057220458984375,0.0,0.0,0.0063896179199218,0.0,0.0,0.0092029571533203,0.0091961451939174,0.0183582305908203,0.0,0.496,0.0,0.0,1.36,123.64,25.152,27.344,0.0,0.0128746032714843,0.0128746032714843,0.0073909759521484,0.0073909759521484,681.664,0
