time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063267307005066,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0043037610176282,0.0090599060058593,0.0090599060058593,0.0057220458984375,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,140.184,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,1101.048,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062413734964805,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0049386705671037,0.0100135803222656,0.0100135803222656,0.0066757202148437,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,115.632,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,88.496,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059806292329854,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.005960464477539,0.0128746032714843,0.0128746032714843,0.005960464477539,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,113.256,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006103515625,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.00762939453125,0.00762939453125,0.0,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061597397078329,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0145435333251953,0.0145435333251953,0.0081062316894531,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,116.248,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,3.96,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059924908538362,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0085830688476562,0.0131130218505859,0.0131130218505859,0.0085830688476562,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,117.192,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,6.2,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062118022899909,0.0082969665527343,0.00762939453125,0.00762939453125,0.0059945242745535,0.0069141387939453,0.0069141387939453,0.0073432922363281,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,127.576,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,30.856,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063523207560624,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0044561567760649,0.0095367431640625,0.0095367431640625,0.0054597854614257,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,118.448,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,303.632,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066049028151106,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0043470154768266,0.0100135803222656,0.0100135803222656,0.0054836273193359,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,115.552,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,1318.568,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006490414685542,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.004127542808573,0.0145435333251953,0.0145435333251953,0.0050067901611328,0.0061239515032087,0.0085353851318359,0.0093255724225725,0.0194549560546875,0.496,1.424,0.0,0.0,1.696,1.696,25.152,27.344,118.448,0.0,0.0088214874267578,0.0102519989013671,0.0127315521240234,0.0116825103759765,1613.224,0
