time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0073687974796738,0.004781617058648,0.0063180923461914,0.0063623700823102,0.0,0.0,0.008392333984375,0.0,0.0,0.0101157597133091,0.0199317932128906,0.0,0.0,0.0,0.0,1.696,1.696,25.152,27.344,97.304,0.0,0.012516975402832,0.0089406967163085,0.0187158584594726,0.0103712081909179,62.92,0
