time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064499712220712,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0041267215805565,0.00762939453125,0.00762939453125,0.0050067901611328,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,144.408,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,2838.256,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065482488953241,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0040046786616133,0.013589859008789,0.013589859008789,0.0047683715820312,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,118.448,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,4254.568,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061288994936207,0.0083446502685546,0.00762939453125,0.00762939453125,0.0044055607007897,0.0112056732177734,0.0112056732177734,0.0054836273193359,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,117.192,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,382.352,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060737133026123,0.0078916549682617,0.0078678131103515,0.0078678131103515,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061666965484619,0.0083684921264648,0.0071525573730468,0.0071525573730468,0.0,0.011444091796875,0.011444091796875,0.0,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061726570129394,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059652091258793,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0050067901611328,0.0140666961669921,0.0140666961669921,0.0050067901611328,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,113.256,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,1.192,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062522603504693,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0088214874267578,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,113.256,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,1.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060517989580904,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.0045299530029296,0.0085830688476562,0.0085830688476562,0.0045299530029296,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,113.256,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060784816741943,0.0081300735473632,0.00762939453125,0.00762939453125,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060987472534179,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0061171395438058,0.0088691711425781,0.0096321105957031,0.018310546875,0.496,1.36,0.0,0.0,1.696,1.696,25.152,27.344,112.0,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,0.0,0
