time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0066280364990234,0.0,0.0,0.0091075897216796,0.0,0.0,0.0096048627580915,0.0203132629394531,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0066280364990234,0.0,0.0,0.0091075897216796,0.0,0.0,0.0096048627580915,0.0203132629394531,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0066280364990234,0.0,0.0,0.0091075897216796,0.0,0.0,0.0096048627580915,0.0203132629394531,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0066280364990234,0.0,0.0,0.0091075897216796,0.0,0.0,0.0096048627580915,0.0203132629394531,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0066280364990234,0.0,0.0,0.0091075897216796,0.0,0.0,0.0096048627580915,0.0203132629394531,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0066280364990234,0.0,0.0,0.0091075897216796,0.0,0.0,0.0096048627580915,0.0203132629394531,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0066280364990234,0.0,0.0,0.0091075897216796,0.0,0.0,0.0096048627580915,0.0203132629394531,0.0,0.0,0.0,0.0,0.848,0.848,25.152,27.344,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.848,0.0,0.0,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0065326690673828,0.0,0.0,0.0086307525634765,0.0,0.0,0.0116825103759765,0.021982192993164,0.0,0.0,0.0,0.0,0.848,0.848,4.52,3.504,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.848,0.0,0.0,117.12,0.0,0.0061988830566406,0.0061988830566406,71.48,0.0205039978027343,0.0205039978027343,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.848,0.0,0.0,117.12,0.0,0.0181198120117187,0.0181198120117187,71.48,0.0071525573730468,0.0071525573730468,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0064849853515625,0.0,0.0,0.0084877014160156,0.0,0.0,0.0129222869873046,0.0250816345214843,0.0,0.0,0.0,0.0,0.0,0.0,3.744,4.232,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
