time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063140217850847,0.0085830688476562,0.0102519989013671,0.0102519989013671,0.011444091796875,0.011444091796875,0.0053644180297851,0.0075101852416992,0.006171635219029,0.0085830688476562,0.0095776149204799,0.0195980072021484,0.496,1.36,0.0,0.0,1.696,1.696,129.896,25.152,27.344,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,25.648,0.006103515625,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062366523364982,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0085830688476562,0.0085830688476562,0.0046321323939732,0.0064849853515625,0.006171635219029,0.0085830688476562,0.0095776149204799,0.0195980072021484,0.496,1.36,0.0,0.0,1.696,1.696,118.448,25.152,27.344,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,70.872,0.006103515625,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061416625976562,0.0081062316894531,0.00762939453125,0.00762939453125,0.0121593475341796,0.0121593475341796,0.0,0.0,0.006171635219029,0.0085830688476562,0.0095776149204799,0.0195980072021484,0.496,1.36,0.0,0.0,1.696,1.696,112.0,25.152,27.344,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,0.0,0.006103515625,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060879357970587,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0112056732177734,0.0112056732177734,0.0058412551879882,0.0070810317993164,0.006171635219029,0.0085830688476562,0.0095776149204799,0.0195980072021484,0.496,1.36,0.0,0.0,1.696,1.696,118.8,25.152,27.344,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,6.224,0.006103515625,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061799984167117,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0066757202148437,0.0066757202148437,0.0069141387939453,0.0072956085205078,0.006171635219029,0.0085830688476562,0.0095776149204799,0.0195980072021484,0.496,1.36,0.0,0.0,1.696,1.696,116.528,25.152,27.344,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,3.952,0.006103515625,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060260295867919,0.0083684921264648,0.0112056732177734,0.0112056732177734,0.0121593475341796,0.0121593475341796,0.0,0.0,0.006171635219029,0.0085830688476562,0.0095776149204799,0.0195980072021484,0.496,1.36,0.0,0.0,1.696,1.696,112.0,25.152,27.344,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,0.0,0.006103515625,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059094595078805,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0109672546386718,0.0109672546386718,0.0052452087402343,0.0052452087402343,0.006171635219029,0.0085830688476562,0.0095776149204799,0.0195980072021484,0.496,1.36,0.0,0.0,1.696,1.696,113.256,25.152,27.344,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,1.192,0.006103515625,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059675814500495,0.0078678131103515,0.005960464477539,0.005960464477539,0.0066757202148437,0.0066757202148437,0.0088214874267578,0.0088214874267578,0.006171635219029,0.0085830688476562,0.0095776149204799,0.0195980072021484,0.496,1.36,0.0,0.0,1.696,1.696,113.256,25.152,27.344,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,1.192,0.006103515625,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061307634626116,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0061988830566406,0.0081777572631835,0.0075340270996093,0.0107765197753906,0.0119209289550781,0.0218391418457031,0.496,1.36,0.0,0.0,1.696,1.696,121.688,4.52,3.504,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,23.088,0.006103515625,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059497356414794,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,112.0,0.0,0.0,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,0.0,0.006103515625,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061762332916259,0.0085830688476562,0.0128746032714843,0.0128746032714843,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,112.0,0.0,0.0,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,0.0,0.006103515625,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060419044872321,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0109672546386718,0.0109672546386718,0.0050862630208333,0.0065803527832031,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,119.536,0.0,0.0,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,19.464,0.006103515625,0
