time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071363541686419,0.0098943710327148,0.0073909759521484,0.0073909759521484,0.0083446502685546,0.0083446502685546,0.0090599060058593,0.00762939453125,0.008702278137207,0.0105857849121093,0.0120401382446289,0.0102519989013671,0.0129222869873046,0.0243663787841796,0.0038494498042737,0.0045299530029296,0.496,1.36,1.696,1.696,3.504,4.52,143.152,0.0,26474.848,0
1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071363541686419,0.0098943710327148,0.0085830688476562,0.0085830688476562,0.0121593475341796,0.0121593475341796,0.0090599060058593,0.0,0.008702278137207,0.0105857849121093,0.0120401382446289,0.0,0.0,0.0,0.0038494498042737,0.0045299530029296,0.496,1.36,1.696,1.696,0.0,0.0,143.152,0.0,26474.848,0
2,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064325569874018,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0145435333251953,0.0145435333251953,0.0090599060058593,0.0065803527832031,0.008702278137207,0.0105857849121093,0.0120401382446289,0.0080108642578125,0.012969970703125,0.0247001647949218,0.0039072973387581,0.0045299530029296,0.496,1.424,1.696,1.696,4.232,3.744,117.192,0.0,2449.152,0
3,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060534477233886,0.0081062316894531,0.0131130218505859,0.0131130218505859,0.0128746032714843,0.0128746032714843,0.0090599060058593,0.006103515625,0.008702278137207,0.0105857849121093,0.0120401382446289,0.0078201293945312,0.0118255615234375,0.0226020812988281,0.0,0.0,0.496,1.424,1.696,1.696,4.232,3.744,112.0,0.0,0.0,0
4,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061028039277489,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0100135803222656,0.0100135803222656,0.0090599060058593,0.0060240427652994,0.008702278137207,0.0105857849121093,0.0120401382446289,0.0088691711425781,0.0114123026529947,0.0263214111328125,0.004589557647705,0.007796287536621,0.496,1.36,1.696,1.696,11.968,12.008,113.256,0.0,126.624,0
5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059146599229333,0.0078201293945312,0.0081062316894531,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0090599060058593,0.006866455078125,0.008702278137207,0.0105857849121093,0.0120401382446289,0.0095844268798828,0.0120162963867187,0.0235557556152343,0.0047683715820312,0.0047683715820312,0.496,1.36,1.696,1.696,4.232,3.744,123.64,0.0,1.192,0
6,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060399373372395,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.011444091796875,0.011444091796875,0.0090599060058593,0.0068426132202148,0.008702278137207,0.0105857849121093,0.0120401382446289,0.0091075897216796,0.0107765197753906,0.0258207321166992,0.0061988830566406,0.0061988830566406,0.496,1.424,1.696,1.696,7.736,8.264,113.256,0.0,1.192,0
7,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060105323791503,0.0078916549682617,0.0104904174804687,0.0104904174804687,0.0081062316894531,0.0081062316894531,0.0090599060058593,0.0,0.008702278137207,0.0105857849121093,0.0120401382446289,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0
8,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060360030372544,0.0078678131103515,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0090599060058593,0.0059127807617187,0.008702278137207,0.0105857849121093,0.0120401382446289,0.0073909759521484,0.0109195709228515,0.0204086303710937,0.0079870223999023,0.0086545944213867,0.496,1.36,1.696,1.696,4.232,3.744,118.064,0.0,5.488,0
9,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060677528381347,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0066757202148437,0.0066757202148437,0.0090599060058593,0.0064373016357421,0.008702278137207,0.0105857849121093,0.0120401382446289,0.008249282836914,0.0113487243652343,0.0220775604248046,0.0,0.0,0.496,1.424,1.696,1.696,4.232,3.744,112.0,0.0,0.0,0
