time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084638595581054,0.0062868433091246,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0045299530029296,0.0104904174804687,0.0104904174804687,0.0061103275844029,0.0123977661132812,0.0123977661132812,0.0081062316894531,0.0094618116106305,0.019693374633789,0.003916687435574,0.0045299530029296,0.496,1.36,0.848,0.848,139.216,25.152,27.344,0.0,1856.56,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009775161743164,0.0070569538834071,0.0088214874267578,0.0088214874267578,0.0045299530029296,0.0045299530029296,0.0104904174804687,0.0104904174804687,0.0061103275844029,0.0090599060058593,0.0090599060058593,0.0081062316894531,0.0094618116106305,0.019693374633789,0.0039113711004387,0.0045299530029296,0.496,1.424,0.848,0.848,119.584,25.152,27.344,0.0,15412.08,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0070102179228369,0.0100135803222656,0.0100135803222656,0.0045299530029296,0.0045299530029296,0.0104904174804687,0.0104904174804687,0.0061103275844029,0.0152587890625,0.0152587890625,0.0081062316894531,0.0094618116106305,0.019693374633789,0.0039337345359989,0.0045299530029296,0.496,1.424,0.848,0.848,117.192,25.152,27.344,0.0,14254.624,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.007328987121582,0.0102519989013671,0.0102519989013671,0.0045299530029296,0.0045299530029296,0.0104904174804687,0.0104904174804687,0.0061103275844029,0.0119209289550781,0.0119209289550781,0.0081062316894531,0.0094618116106305,0.019693374633789,0.0039117071933972,0.0045299530029296,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0,19541.84,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0062925898613621,0.0085830688476562,0.0085830688476562,0.0045299530029296,0.0045299530029296,0.0104904174804687,0.0104904174804687,0.0061103275844029,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0094618116106305,0.019693374633789,0.0047683715820312,0.0056743621826171,0.496,1.424,0.848,0.848,114.392,25.152,27.344,0.0,93.312,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.006095017537032,0.0073909759521484,0.0073909759521484,0.0121593475341796,0.0121593475341796,0.0042915344238281,0.0042915344238281,0.0061103275844029,0.0166893005371093,0.0166893005371093,0.0081062316894531,0.0094618116106305,0.019693374633789,0.0048279762268066,0.0056743621826171,0.496,1.424,0.848,0.848,118.448,25.152,27.344,0.0,36.704,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0060517989580904,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0061103275844029,0.00762939453125,0.00762939453125,0.0081062316894531,0.0094618116106305,0.019693374633789,0.0052452087402343,0.0052452087402343,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0058418482690308,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0061103275844029,0.0057220458984375,0.0057220458984375,0.0081062316894531,0.0094618116106305,0.019693374633789,0.0066757202148437,0.0066757202148437,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060427188873291,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0061103275844029,0.0107288360595703,0.0107288360595703,0.0081062316894531,0.0094618116106305,0.019693374633789,0.0,0.0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0061357021331787,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0061103275844029,0.0088214874267578,0.0088214874267578,0.0081062316894531,0.0094618116106305,0.019693374633789,0.0,0.0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0
