time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066352122038313,0.0095367431640625,0.00762939453125,0.00762939453125,0.007033348083496,0.00762939453125,0.00762939453125,0.0086545944213867,0.0089406967163085,0.0069618225097656,0.0126600265502929,0.0096797943115234,0.0117778778076171,0.0223159790039062,0.0038934501621365,0.0045299530029296,0.496,1.36,1.696,1.696,3.504,4.52,143.152,0.0,15147.256,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067480761020337,0.0090599060058593,0.0104904174804687,0.0104904174804687,0.007033348083496,0.0126361846923828,0.0126361846923828,0.0086545944213867,0.0089406967163085,0.0069618225097656,0.0126600265502929,0.0096797943115234,0.0117778778076171,0.0223159790039062,0.0040013087033696,0.0047683715820312,0.496,1.424,1.696,1.696,3.504,4.52,114.392,0.0,4541.032,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073020137957672,0.009775161743164,0.0095367431640625,0.0095367431640625,0.007033348083496,0.0092983245849609,0.0092983245849609,0.0086545944213867,0.0089406967163085,0.006103515625,0.0126600265502929,0.0079154968261718,0.0107288360595703,0.0192165374755859,0.003901008405273,0.0045299530029296,0.496,1.424,1.696,1.696,4.232,3.744,117.192,0.0,23417.416,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006624967745035,0.0090599060058593,0.0102519989013671,0.0102519989013671,0.007033348083496,0.0116825103759765,0.0116825103759765,0.0086545944213867,0.0089406967163085,0.0061459011501736,0.0126600265502929,0.008392333984375,0.0101869756525213,0.0252723693847656,0.0039028493981612,0.0045299530029296,0.496,1.424,1.696,1.696,7.208,8.792,115.648,0.0,7987.2,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063039288662447,0.0090599060058593,0.0083446502685546,0.0083446502685546,0.007033348083496,0.0085830688476562,0.0085830688476562,0.0086545944213867,0.0089406967163085,0.0,0.0126600265502929,0.0,0.0,0.0,0.0048637390136718,0.0059127807617187,0.496,1.424,1.696,1.696,0.0,0.0,118.448,0.0,102.216,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061205963590251,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.007033348083496,0.0107288360595703,0.0107288360595703,0.0086545944213867,0.0089406967163085,0.0058650970458984,0.0126600265502929,0.0072479248046875,0.0103950500488281,0.01983642578125,0.0045299530029296,0.0045299530029296,0.496,1.424,1.696,1.696,4.232,3.744,113.256,0.0,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062060356140136,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.007033348083496,0.0057220458984375,0.0057220458984375,0.0086545944213867,0.0089406967163085,0.0060558319091796,0.0126600265502929,0.00762939453125,0.0109195709228515,0.0207424163818359,0.0,0.0,0.496,1.36,1.696,1.696,4.232,3.744,112.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062453746795654,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.007033348083496,0.0088214874267578,0.0088214874267578,0.0086545944213867,0.0089406967163085,0.0063101450602213,0.0126600265502929,0.0082969665527343,0.0118573506673177,0.02899169921875,0.0,0.0,0.496,1.36,1.696,1.696,11.968,12.008,112.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061595439910888,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.007033348083496,0.0088214874267578,0.0088214874267578,0.0086545944213867,0.0089406967163085,0.0066757202148437,0.0126600265502929,0.0092029571533203,0.0106334686279296,0.020456314086914,0.0,0.0,0.496,1.36,1.696,1.696,4.232,3.744,112.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108283996582,0.0085830688476562,0.0119209289550781,0.0119209289550781,0.007033348083496,0.005960464477539,0.005960464477539,0.0086545944213867,0.0089406967163085,0.0066518783569335,0.0126600265502929,0.0089406967163085,0.0103712081909179,0.0255346298217773,0.0,0.0,0.496,1.36,1.696,1.696,7.736,8.264,112.0,0.0,0.0,0
