time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073435237106767,0.0100135803222656,0.0064373016357421,0.0064373016357421,0.0057220458984375,0.011444091796875,0.011444091796875,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.003879546530271,0.0045299530029296,0.496,1.36,1.696,1.696,143.152,25.152,27.344,0.0,36519.576,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073435237106767,0.0100135803222656,0.0071525573730468,0.0071525573730468,0.0057220458984375,0.0128746032714843,0.0128746032714843,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.003879546530271,0.0045299530029296,0.496,1.36,1.696,1.696,143.152,25.152,27.344,0.0,36519.576,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067172358878216,0.0090599060058593,0.009775161743164,0.009775161743164,0.0057220458984375,0.0092983245849609,0.0092983245849609,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.0040238363701,0.0048637390136718,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,613.64,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064289985011466,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0057220458984375,0.0123977661132812,0.0123977661132812,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.0041577874160394,0.0052213668823242,0.496,1.424,1.696,1.696,117.888,25.152,27.344,0.0,861.712,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061288994936207,0.0083446502685546,0.00762939453125,0.00762939453125,0.0057220458984375,0.0083446502685546,0.0083446502685546,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.0042915344238281,0.0042915344238281,0.496,1.424,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060643299971476,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0057220458984375,0.0116825103759765,0.0116825103759765,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.0051259994506835,0.0057935714721679,0.496,1.392,1.696,1.696,115.76,25.152,27.344,0.0,3.408,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060707775514517,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.0081062316894531,0.0081062316894531,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.0053942203521728,0.0064849853515625,0.496,1.424,1.696,1.696,114.712,25.152,27.344,0.0,26.816,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059139728546142,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0057220458984375,0.013589859008789,0.013589859008789,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.0,0.0,0.496,1.424,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061166286468505,0.0079154968261718,0.0081062316894531,0.0081062316894531,0.0057220458984375,0.0133514404296875,0.0133514404296875,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.0,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057578086853027,0.0076532363891601,0.0066757202148437,0.0066757202148437,0.0057220458984375,0.0121593475341796,0.0121593475341796,0.0059127807617187,0.006239754813058,0.0089406967163085,0.0089168548583984,0.0118970870971679,0.0095844268798828,0.0205516815185546,0.0,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
